AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
166,65,166Tb,,-57808.8,1.5,,101,15.0,19.0
158,65,158Tb,,-69470.9,1.3,,93,15.0,11.0
155,65,155Tb,,-71250,10,65.4622,90,15.0,8.0
135,65,135Tb,,-33050.0, 400.0,,70,15.0,12.0
170,65,170Tb,,-46710.0, 300.0,,105,15.0,21.0
168,65,168Tb,m,-52570,4,,103,15.0,21.0
168,65,168Tb,,-52781,4,,103,15.0,21.0
143,65,143Tb,m,-60420.0, 110.0,,78,15.0,4.0
143,65,143Tb,,-60420,50,,78,15.0,4.0
145,65,145Tb,m,-65540,200,,80,15.0,2.0
145,65,145Tb,,-66400,110,,80,15.0,2.0
144,65,144Tb,n,-61892,28,,79,15.0,3.0
146,65,146Tb,,-67760,40,241.09,81,15.0,1.0
146,65,146Tb,m,-67610.0, 110.0,,81,15.0,1.0
146,65,146Tb,n,-66830.0, 110.0,,81,15.0,1.0
144,65,144Tb,,-62368,28,,79,15.0,3.0
144,65,144Tb,m,-61971,28,,79,15.0,3.0
171,65,171Tb,,-43770.0, 400.0,,106,15.0,20.0
157,65,157Tb,,-70763.8,1,60.881,92,15.0,10.0
167,65,167Tb,,-55883.1,1.9,,102,15.0,20.0
136,65,136Tb,,-35900.0, 500.0,,71,15.0,11.0
167,65,167Tb,m,-55683,6,,102,15.0,20.0
161,65,161Tb,,-67461.8,1.2,56.288999999999994,96,15.0,14.0
156,65,156Tb,n,-69990.0,  50.0,,91,15.0,9.0
141,65,141Tb,m,-54540.0, 230.0,,76,15.0,6.0
141,65,141Tb,,-54540,110,,76,15.0,6.0
149,65,149Tb,,-71489,4,35.78,84,15.0,2.0
162,65,162Tb,,-65879.5,2,39.1,97,15.0,15.0
149,65,149Tb,m,-71453,4,,84,15.0,2.0
164,65,164Tb,m,-61960,12,,99,15.0,17.0
138,65,138Tb,,-43600.0, 300.0,,73,15.0,9.0
164,65,164Tb,,-62105,1.9,,99,15.0,17.0
174,65,174Tb,,-31970.0, 500.0,,109,15.0,17.0
162,65,162Tb,m,-65594,2.5,,97,15.0,15.0
158,65,158Tb,n,-69082.5,1.3,,93,15.0,11.0
163,65,163Tb,,-64596,4,54.0,98,15.0,16.0
160,65,160Tb,,-67836.5,1.1,63.6856,95,15.0,13.0
152,65,152Tb,n,-70220,40,235.39,87,15.0,5.0
150,65,150Tb,m,-70645,26,397.2,85,15.0,3.0
152,65,152Tb,m,-70380,40,,87,15.0,5.0
150,65,150Tb,,-71106,7,,85,15.0,3.0
152,65,152Tb,,-70720,40,,87,15.0,5.0
140,65,140Tb,,-50480,800,,75,15.0,7.0
144,65,144Tb,q,-61824,28,,79,15.0,3.0
151,65,151Tb,,-71624,4,22.921999999999997,86,15.0,4.0
148,65,148Tb,,-70537,12,90.1,83,15.0,1.0
148,65,148Tb,m,-70447,12,,83,15.0,1.0
148,65,148Tb,n,-61918,12,,83,15.0,1.0
156,65,156Tb,m,-70003,4,,91,15.0,9.0
139,65,139Tb,,-48130.0, 300.0,,74,15.0,8.0
159,65,159Tb,,-69532.6,1.1,57.9964,94,15.0,12.0
142,65,142Tb,,-56560,700,,77,15.0,5.0
151,65,151Tb,m,-71524,4,,86,15.0,4.0
165,65,165Tb,m,-60382,5,,100,15.0,18.0
165,65,165Tb,,-60588.8,1.5,,100,15.0,18.0
153,65,153Tb,m,-71151,4,80.72,88,15.0,6.0
153,65,153Tb,,-71314,4,,88,15.0,6.0
173,65,173Tb,,-36510.0, 500.0,,108,15.0,18.0
142,65,142Tb,m,-56280,700,,77,15.0,5.0
161,66,161Dy,,-68055.5,0.7,25.65136,95,16.0,13.0
162,66,162Dy,m,-65993.1,0.8,80.661,96,16.0,14.0
169,66,169Dy,,-55600,300,,103,16.0,21.0
162,66,162Dy,,-68181.2,0.7,,96,16.0,14.0
156,66,156Dy,,-70529.4,1,137.77,90,16.0,8.0
161,66,161Dy,m,-67569.9,0.7,,95,16.0,13.0
175,66,175Dy,,-36730.0, 500.0,,109,16.0,17.0
169,66,169Dy,m,-55430,300,,103,16.0,21.0
170,66,170Dy,,-53710.0, 200.0,71.47,104,16.0,22.0
158,66,158Dy,,-70407.2,2.3,98.91799999999999,92,16.0,10.0
168,66,168Dy,m,-57180,140,,102,16.0,20.0
166,66,166Dy,,-62584.5,0.8,76.587,100,16.0,18.0
172,66,172Dy,,-47760.0, 300.0,,106,16.0,20.0
172,66,172Dy,m,-46480.0, 300.0,,106,16.0,20.0
165,66,165Dy,m,-63504.1,0.7,83.3942,99,16.0,17.0
159,66,159Dy,,-69167.2,1.4,56.626000000000005,93,16.0,11.0
159,66,159Dy,m,-68814.4,1.4,,93,16.0,11.0
165,66,165Dy,,-63612.3,0.7,,99,16.0,17.0
173,66,173Dy,,-43740.0, 400.0,,107,16.0,19.0
170,66,170Dy,m,-52070.0, 200.0,,104,16.0,22.0
164,66,164Dy,,-65967.6,0.7,73.393,98,16.0,16.0
171,66,171Dy,,-50010.0, 200.0,,105,16.0,21.0
157,66,157Dy,n,-69226,5,61.141000000000005,91,16.0,9.0
174,66,174Dy,,-41130.0, 500.0,,108,16.0,18.0
160,66,160Dy,,-69672.4,0.7,86.7877,94,16.0,12.0
176,66,176Dy,,-33610.0, 500.0,,110,16.0,16.0
157,66,157Dy,m,-69263,5,,91,16.0,9.0
157,66,157Dy,,-69425,5,,91,16.0,9.0
168,66,168Dy,,-58560,140,,102,16.0,20.0
167,66,167Dy,,-59911,4,57.2,101,16.0,19.0
163,66,163Dy,,-66380.9,0.7,73.4448,97,16.0,15.0
144,66,144Dy,,-56570,7,492.5,78,16.0,4.0
146,66,146Dy,m,-59621,7,682.62,80,16.0,2.0
140,66,140Dy,m,-40660.0, 400.0,202.2,74,16.0,8.0
155,66,155Dy,m,-68922,10,39.384,89,16.0,7.0
155,66,155Dy,,-69156,10,,89,16.0,7.0
140,66,140Dy,,-42830.0, 400.0,,74,16.0,8.0
150,66,150Dy,,-69310,4,803.64,84,16.0,2.0
148,66,148Dy,,-67859,9,1677.3,82,16.0,0.0
151,66,151Dy,,-68752,3,209.57,85,16.0,3.0
143,66,143Dy,n,-51763,13,66.7,77,16.0,5.0
143,66,143Dy,m,-51858,13,,77,16.0,5.0
143,66,143Dy,,-52169,13,,77,16.0,5.0
146,66,146Dy,,-62555,7,,80,16.0,2.0
148,66,148Dy,m,-64940,9,,82,16.0,0.0
149,66,149Dy,m,-65033,9,1034.6,83,16.0,1.0
154,66,154Dy,,-70394,7,334.34,88,16.0,6.0
149,66,149Dy,,-67694,9,,83,16.0,1.0
142,66,142Dy,,-50120.0, 730.0,315.9,76,16.0,6.0
147,66,147Dy,,-64196,9,72.04,81,16.0,1.0
141,66,141Dy,,-45380.0, 300.0,,75,16.0,7.0
153,66,153Dy,,-69143,4,108.84,87,16.0,5.0
152,66,152Dy,,-70118,5,613.83,86,16.0,4.0
139,66,139Dy,,-37700.0, 500.0,,73,16.0,9.0
147,66,147Dy,m,-63446,9,,81,16.0,1.0
147,66,147Dy,n,-60789,9,,81,16.0,1.0
145,66,145Dy,,-58243,7,66.3,79,16.0,3.0
138,66,138Dy,,-34930.0, 500.0,,72,16.0,10.0
145,66,145Dy,m,-58125,7,,79,16.0,3.0
165,67,165Ho,m,-64536.3,0.8,94.7,98,15.0,16.0
162,67,162Ho,,-66041,3,38.34,95,15.0,13.0
167,67,167Ho,m,-62020,5,98.0,100,15.0,18.0
176,67,176Ho,,-39390.0, 500.0,,109,15.0,17.0
164,67,164Ho,m,-64840.7,1.4,37.341,97,15.0,15.0
165,67,165Ho,,-64898,0.8,,98,15.0,16.0
166,67,166Ho,,-63070.3,0.8,5.968999999999999,99,15.0,17.0
166,67,166Ho,m,-63064.3,0.8,,99,15.0,17.0
173,67,173Ho,m,-48950.0, 300.0,,106,15.0,20.0
173,67,173Ho,,-49350.0, 300.0,,106,15.0,20.0
147,67,147Ho,,-55757,5,584.96,80,15.0,2.0
166,67,166Ho,n,-62879.4,0.8,,99,15.0,17.0
174,67,174Ho,,-45870.0, 300.0,,107,15.0,19.0
162,67,162Ho,m,-65935,3,,95,15.0,13.0
167,67,167Ho,,-62279,5,,100,15.0,18.0
160,67,160Ho,,-66382,15,59.98,93,15.0,11.0
151,67,151Ho,,-63623,8,41.0,84,15.0,2.0
175,67,175Ho,,-43300.0, 400.0,,108,15.0,18.0
152,67,152Ho,m,-63445,13,160.0,85,15.0,3.0
177,67,177Ho,,-36280.0, 500.0,,110,15.0,16.0
160,67,160Ho,m,-66322,15,,93,15.0,11.0
148,67,148Ho,n,-57050.0, 130.0,,81,15.0,1.0
153,67,153Ho,m,-64943,5,68.7,86,15.0,4.0
160,67,160Ho,n,-66185,22,,93,15.0,11.0
142,67,142Ho,,-37250.0, 400.0,,75,15.0,7.0
153,67,153Ho,,-65012,5,,86,15.0,4.0
141,67,141Ho,,-34360.0, 400.0,66.0,74,15.0,8.0
148,67,148Ho,,-57990,80,,81,15.0,1.0
159,67,159Ho,m,-67124,3,97.45,92,15.0,10.0
159,67,159Ho,,-67330,3,,92,15.0,10.0
153,67,153Ho,n,-62240,5,,86,15.0,4.0
147,67,147Ho,m,-53070,5,,80,15.0,2.0
151,67,151Ho,m,-63582,8,,84,15.0,2.0
164,67,164Ho,,-64980.5,1.4,,97,15.0,15.0
141,67,141Ho,m,-34290.0, 400.0,,74,15.0,8.0
156,67,156Ho,,-65540,40,52.37,89,15.0,7.0
146,67,146Ho,,-51238,7,,79,15.0,3.0
157,67,157Ho,,-66833,23,53.048,90,15.0,8.0
155,67,155Ho,,-66040,17,110.14,88,15.0,6.0
155,67,155Ho,m,-65898,17,,88,15.0,6.0
170,67,170Ho,,-56240,50,120.0,103,15.0,21.0
140,67,140Ho,,-29320.0, 500.0,,73,15.0,9.0
161,67,161Ho,m,-66985.2,2.2,99.63,94,15.0,12.0
145,67,145Ho,m,-49020.0, 100.0,486.9,78,15.0,4.0
145,67,145Ho,,-49120,7,,78,15.0,4.0
163,67,163Ho,,-66378,0.7,100.03,96,15.0,14.0
163,67,163Ho,m,-66080.1,0.7,,96,15.0,14.0
163,67,163Ho,n,-64268.6,0.8,,96,15.0,14.0
161,67,161Ho,,-67196.3,2.2,,94,15.0,12.0
144,67,144Ho,m,-44345,8,60.6,77,15.0,5.0
144,67,144Ho,,-44610,8,,77,15.0,5.0
169,67,169Ho,,-58796,20,97.0,102,15.0,20.0
169,67,169Ho,m,-57410,20,,102,15.0,20.0
165,67,165Ho,n,-64182.7,0.8,,98,15.0,16.0
156,67,156Ho,n,-65304,28,,89,15.0,7.0
156,67,156Ho,m,-65490,40,,89,15.0,7.0
150,67,150Ho,,-61946,14,,83,15.0,1.0
171,67,171Ho,,-54520,600,,104,15.0,22.0
150,67,150Ho,m,-61950,50,,83,15.0,1.0
168,67,168Ho,p,-59870,30,59.0,101,15.0,19.0
158,67,158Ho,p,-66010.0,  80.0,67.2,91,15.0,9.0
158,67,158Ho,n,-66095,27,,91,15.0,9.0
158,67,158Ho,m,-66120,27,,91,15.0,9.0
158,67,158Ho,,-66187,27,,91,15.0,9.0
148,67,148Ho,m,-57740.0, 130.0,,81,15.0,1.0
152,67,152Ho,,-63605,13,,85,15.0,3.0
154,67,154Ho,,-64639,8,26.9,87,15.0,5.0
150,67,150Ho,n,-54050,50,,83,15.0,1.0
149,67,149Ho,,-61646,12,48.8,82,15.0,0.0
154,67,154Ho,m,-64397,27,,87,15.0,5.0
170,67,170Ho,m,-56140,60,,103,15.0,21.0
143,67,143Ho,,-42050.0, 300.0,318.0,76,15.0,6.0
168,67,168Ho,,-60060,30,,101,15.0,19.0
178,67,178Ho,,-32130.0, 500.0,,111,15.0,15.0
172,67,172Ho,,-51480.0, 200.0,,105,15.0,21.0
168,67,168Ho,m,-60000,30,,101,15.0,19.0
168,67,168Ho,n,-59920,30,,101,15.0,19.0
149,67,149Ho,m,-61597,12,,82,15.0,0.0
152,67,152Ho,n,-60585,13,,85,15.0,3.0
161,68,161Er,,-65201,9,59.501000000000005,93,14.0,11.0
161,68,161Er,m,-64805,9,,93,14.0,11.0
165,68,165Er,,-64521.4,0.9,47.159,97,14.0,15.0
164,68,164Er,,-65942.6,0.7,91.38,96,14.0,14.0
175,68,175Er,,-48650.0, 400.0,,107,14.0,19.0
174,68,174Er,,-51950.0, 300.0,,106,14.0,20.0
149,68,149Er,p,-50440,30,111.3,81,14.0,1.0
149,68,149Er,n,-51131,28,,81,14.0,1.0
163,68,163Er,m,-64722,5,69.23,95,14.0,13.0
163,68,163Er,,-65167,5,,95,14.0,13.0
149,68,149Er,m,-53000,28,,81,14.0,1.0
150,68,150Er,,-57831,17,1578.33,82,14.0,0.0
174,68,174Er,m,-50840.0, 300.0,,106,14.0,20.0
149,68,149Er,,-53742,28,,81,14.0,1.0
180,68,180Er,,-33180.0, 500.0,,112,14.0,14.0
165,68,165Er,m,-63970.1,1.1,,97,14.0,15.0
162,68,162Er,m,-64308.2,0.8,102.04,94,14.0,12.0
162,68,162Er,,-66334.2,0.8,,94,14.0,12.0
150,68,150Er,m,-55035,17,,82,14.0,0.0
173,68,173Er,,-53650.0, 200.0,,105,14.0,21.0
151,68,151Er,,-58266,16,801.52,83,14.0,1.0
151,68,151Er,m,-55680,16,,83,14.0,1.0
148,68,148Er,m,-48566,10,645.89,80,14.0,2.0
151,68,151Er,n,-47979,16,,83,14.0,1.0
148,68,148Er,,-51479,10,,80,14.0,2.0
165,68,165Er,n,-62698.4,1.1,,97,14.0,15.0
166,68,166Er,,-64924.1,0.3,80.5776,98,14.0,16.0
167,68,167Er,,-63289.26,0.29,79.3221,99,14.0,17.0
159,68,159Er,,-64561,4,59.248999999999995,91,14.0,9.0
153,68,153Er,,-60467,9,266.5,85,14.0,3.0
153,68,153Er,m,-57669,9,,85,14.0,3.0
153,68,153Er,n,-55219,9,,85,14.0,3.0
171,68,171Er,m,-57519.2,1.4,79.05,103,14.0,21.0
142,68,142Er,,-27930.0, 500.0,,74,14.0,8.0
157,68,157Er,,-63414,27,10.3,89,14.0,7.0
157,68,157Er,m,-63259,27,,89,14.0,7.0
168,68,168Er,m,-61895.19,0.26,79.804,100,14.0,18.0
168,68,168Er,,-62989.23,0.26,,100,14.0,18.0
177,68,177Er,,-42860.0, 500.0,,109,14.0,17.0
178,68,178Er,,-40260.0, 600.0,,110,14.0,16.0
167,68,167Er,m,-63081.46,0.29,,99,14.0,17.0
143,68,143Er,,-31160.0, 400.0,,75,14.0,7.0
170,68,170Er,,-60107.5,1.4,78.59,102,14.0,20.0
154,68,154Er,,-62605,5,560.8,86,14.0,4.0
171,68,171Er,,-57717.8,1.4,,103,14.0,21.0
146,68,146Er,,-44322,7,,78,14.0,4.0
159,68,159Er,n,-64132,4,,91,14.0,9.0
159,68,159Er,m,-64378,4,,91,14.0,9.0
145,68,145Er,m,-39040.0, 200.0,175.0,77,14.0,5.0
156,68,156Er,,-64212,25,344.53,88,14.0,6.0
169,68,169Er,m,-60829.2,0.3,64.55,101,14.0,19.0
172,68,172Er,m,-54982,4,77.0,104,14.0,22.0
172,68,172Er,,-56483,4,,104,14.0,22.0
169,68,169Er,,-60921.2,0.3,,101,14.0,19.0
176,68,176Er,,-46630.0, 400.0,,108,14.0,18.0
155,68,155Er,,-62209,6,88.08,87,14.0,5.0
147,68,147Er,m,-46510.0,  60.0,80.9,79,14.0,3.0
144,68,144Er,,-36610.0, 200.0,,76,14.0,6.0
160,68,160Er,,-66064,24,125.47,92,14.0,10.0
152,68,152Er,,-60500,9,808.3,84,14.0,2.0
179,68,179Er,,-36080.0, 500.0,,111,14.0,15.0
169,68,169Er,n,-60677.5,0.3,,101,14.0,19.0
145,68,145Er,,-39240.0, 200.0,,77,14.0,5.0
147,68,147Er,,-46610,40,,79,14.0,3.0
158,68,158Er,,-65304,25,192.15,90,14.0,8.0
168,69,168Tm,,-61312.4,1.7,3.0,99,13.0,17.0
144,69,144Tm,,-22160.0, 400.0,,75,13.0,7.0
145,69,145Tm,,-27580.0, 200.0,338.4,76,13.0,6.0
169,69,169Tm,m,-60958.6,0.7,8.410169999999999,100,13.0,18.0
170,69,170Tm,,-59795.3,0.7,38.7139,101,13.0,19.0
173,69,173Tm,n,-54350,4,2.46,104,13.0,22.0
165,69,165Tm,m,-62849.6,1.7,11.54,96,13.0,14.0
167,69,167Tm,n,-62250.3,1.3,10.4,98,13.0,16.0
165,69,165Tm,n,-62769.5,1.7,,96,13.0,14.0
172,69,172Tm,m,-56898,5,62.528999999999996,103,13.0,21.0
172,69,172Tm,,-57374,5,,103,13.0,21.0
147,69,147Tm,m,-35913,7,68.0,78,13.0,4.0
147,69,147Tm,,-35974,7,,78,13.0,4.0
166,69,166Tm,,-61886,12,,97,13.0,15.0
166,69,166Tm,m,-61764,14,,97,13.0,15.0
166,69,166Tm,n,-61642,14,,97,13.0,15.0
171,69,171Tm,n,-57535.9,1,5.0359,102,13.0,20.0
171,69,171Tm,m,-58785.3,1,,102,13.0,20.0
170,69,170Tm,m,-59612.1,0.7,,101,13.0,19.0
171,69,171Tm,,-59210.3,1,,102,13.0,20.0
146,69,146Tm,n,-30620.0, 200.0,182.0,77,13.0,5.0
146,69,146Tm,m,-30750.0, 200.0,,77,13.0,5.0
173,69,173Tm,,-56256,4,,104,13.0,22.0
173,69,173Tm,m,-55938,4,,104,13.0,22.0
146,69,146Tm,,-31060.0, 200.0,,77,13.0,5.0
165,69,165Tm,,-62930,1.7,,96,13.0,14.0
167,69,167Tm,,-62543.1,1.3,,98,13.0,16.0
164,69,164Tm,m,-61889,28,,95,13.0,13.0
164,69,164Tm,,-61909,25,,95,13.0,13.0
167,69,167Tm,m,-62363.6,1.3,,98,13.0,16.0
148,69,148Tm,,-38765,10,,79,13.0,3.0
173,69,173Tm,p,-52208,4,,104,13.0,22.0
169,69,169Tm,,-61274.7,0.7,,100,13.0,18.0
175,69,175Tm,n,-50790,50,2.6,106,13.0,20.0
180,69,180Tm,,-38170.0, 400.0,,111,13.0,15.0
175,69,175Tm,,-52310,50,,106,13.0,20.0
175,69,175Tm,m,-51870,50,,106,13.0,20.0
178,69,178Tm,,-44240.0, 300.0,,109,13.0,17.0
161,69,161Tm,n,-61821,28,7.51,92,13.0,10.0
161,69,161Tm,m,-61891,28,,92,13.0,10.0
161,69,161Tm,,-61899,28,,92,13.0,10.0
151,69,151Tm,,-50772,19,,82,13.0,0.0
151,69,151Tm,m,-50679,20,,82,13.0,0.0
151,69,151Tm,n,-48116,19,,82,13.0,0.0
153,69,153Tm,m,-53930,12,43.2,84,13.0,2.0
153,69,153Tm,,-53973,12,,84,13.0,2.0
159,69,159Tm,,-60570,28,52.98,90,13.0,8.0
157,69,157Tm,m,-58610.0,  60.0,35.23,88,13.0,6.0
157,69,157Tm,,-58709,28,,88,13.0,6.0
182,69,182Tm,,-31490.0, 500.0,,113,13.0,13.0
155,69,155Tm,,-56626,10,41.0,86,13.0,4.0
155,69,155Tm,m,-56585,12,,86,13.0,4.0
149,69,149Tm,,-43940.0, 200.0,,80,13.0,2.0
160,69,160Tm,n,-60090.0,  60.0,42.11,91,13.0,9.0
160,69,160Tm,m,-60230,30,,91,13.0,9.0
160,69,160Tm,,-60300,30,,91,13.0,9.0
152,69,152Tm,,-51720,50,141.61,83,13.0,1.0
152,69,152Tm,m,-51820,240,,83,13.0,1.0
152,69,152Tm,n,-49270,250,,83,13.0,1.0
177,69,177Tm,,-47570.0, 200.0,,108,13.0,18.0
177,69,177Tm,m,-47470.0, 220.0,,108,13.0,18.0
176,69,176Tm,,-49370,100,,107,13.0,19.0
179,69,179Tm,,-41900.0, 400.0,,110,13.0,16.0
174,69,174Tm,m,-53610,40,,105,13.0,21.0
156,69,156Tm,m,-56430.0, 200.0,115.2,87,13.0,5.0
181,69,181Tm,,-35440.0, 500.0,,112,13.0,14.0
174,69,174Tm,,-53860,40,,105,13.0,21.0
163,69,163Tm,,-62728,6,13.52,94,13.0,12.0
163,69,163Tm,m,-62641,6,,94,13.0,12.0
154,69,154Tm,,-54427,14,133.2,85,13.0,3.0
158,69,158Tm,,-58703,25,74.1,89,13.0,7.0
174,69,174Tm,n,-51770,40,,105,13.0,21.0
162,69,162Tm,m,-61350,50,44.651,93,13.0,11.0
158,69,158Tm,m,-58600.0,  60.0,,89,13.0,7.0
149,69,149Tm,m,-43840.0, 210.0,,80,13.0,2.0
150,69,150Tm,,-46490.0, 200.0,16.89,81,13.0,1.0
150,69,150Tm,m,-46350.0, 240.0,,81,13.0,1.0
154,69,154Tm,m,-54350,50,,85,13.0,3.0
150,69,150Tm,n,-45680.0, 240.0,,81,13.0,1.0
156,69,156Tm,,-56834,14,,87,13.0,5.0
162,69,162Tm,,-61477,26,,93,13.0,11.0
182,70,182Yb,,-38900.0, 400.0,,112,12.0,14.0
154,70,154Yb,,-49932,17,821.3,84,12.0,2.0
166,70,166Yb,,-61594,7,102.37,96,12.0,14.0
176,70,176Yb,m,-52441.5,0.6,82.135,106,12.0,20.0
168,70,168Yb,,-61579.87,0.09,87.73,98,12.0,16.0
171,70,171Yb,n,-59184.402,0.013,66.732,101,12.0,19.0
170,70,170Yb,m,-59505.47,0.14,84.25468000000001,100,12.0,18.0
171,70,171Yb,,-59306.818,0.013,,101,12.0,19.0
177,70,177Yb,m,-50654.9,0.4,104.51,107,12.0,19.0
167,70,167Yb,,-60590,4,29.658,97,12.0,15.0
183,70,183Yb,,-35000.0, 400.0,,113,12.0,13.0
167,70,167Yb,m,-60018,4,,97,12.0,15.0
176,70,176Yb,,-53491.322,0.014,,106,12.0,20.0
158,70,158Yb,,-56010,8,358.2,88,12.0,6.0
171,70,171Yb,m,-59211.536,0.013,,101,12.0,19.0
184,70,184Yb,,-32600.0, 500.0,,114,12.0,12.0
153,70,153Yb,m,-44530.0, 210.0,567.03,83,12.0,1.0
157,70,157Yb,,-53420,11,205.5,87,12.0,5.0
153,70,153Yb,,-47160.0, 200.0,,83,12.0,1.0
177,70,177Yb,,-50986.4,0.22,,107,12.0,19.0
159,70,159Yb,,-55834,18,,89,12.0,7.0
170,70,170Yb,,-60763.929,0.01,,100,12.0,18.0
178,70,178Yb,,-49677,7,84.0,108,12.0,18.0
174,70,174Yb,m,-55426.373,0.017,76.471,104,12.0,22.0
181,70,181Yb,,-41090.0, 300.0,,111,12.0,15.0
152,70,152Yb,m,-43530,150,1531.4,82,12.0,0.0
161,70,161Yb,,-57834,15,43.67,91,12.0,9.0
185,70,185Yb,,-28480.0, 500.0,,115,12.0,11.0
148,70,148Yb,,-30230.0, 400.0,,78,12.0,4.0
179,70,179Yb,,-46640.0, 200.0,,109,12.0,17.0
150,70,150Yb,,-38830.0, 300.0,,80,12.0,2.0
164,70,164Yb,,-61012,15,123.31,94,12.0,12.0
151,70,151Yb,,-41540,300,,81,12.0,1.0
162,70,162Yb,,-59821,15,166.72,92,12.0,10.0
174,70,174Yb,n,-55179.3,0.5,,104,12.0,22.0
174,70,174Yb,,-56944.521,0.011,,104,12.0,22.0
149,70,149Yb,,-33330.0, 300.0,,79,12.0,3.0
163,70,163Yb,,-59294,15,53.88,93,12.0,11.0
173,70,173Yb,,-57551.234,0.011,78.64699999999999,103,12.0,21.0
173,70,173Yb,m,-57152.3,0.5,,103,12.0,21.0
156,70,156Yb,,-53266,9,536.0,86,12.0,4.0
151,70,151Yb,m,-40800.0, 320.0,,81,12.0,1.0
169,70,169Yb,,-60375.53,0.18,24.1999,99,12.0,17.0
151,70,151Yb,p,-38250.0, 330.0,,81,12.0,1.0
152,70,152Yb,,-46270,150,,82,12.0,0.0
160,70,160Yb,,-58163,5,243.0,90,12.0,8.0
155,70,155Yb,,-50503,17,168.7,85,12.0,3.0
175,70,175Yb,m,-54180.69,0.07,104.5263,105,12.0,21.0
175,70,175Yb,,-54695.56,0.07,,105,12.0,21.0
180,70,180Yb,,-44720.0, 300.0,,110,12.0,16.0
151,70,151Yb,n,-38910.0, 330.0,,81,12.0,1.0
172,70,172Yb,m,-57705.03,0.06,78.7427,102,12.0,20.0
172,70,172Yb,,-59255.456,0.014,,102,12.0,20.0
169,70,169Yb,m,-60351.33,0.18,,99,12.0,17.0
165,70,165Yb,m,-60168,27,87.53,95,12.0,13.0
165,70,165Yb,,-60295,27,,95,12.0,13.0
177,71,177Lu,r,-48853.5,1.3,121.6214,106,11.0,20.0
177,71,177Lu,q,-49612.2,1.3,,106,11.0,20.0
169,71,169Lu,m,-58054,3,29.0,98,11.0,16.0
178,71,178Lu,m,-50214,3,42.4,107,11.0,19.0
179,71,179Lu,m,-48467,5,35.0,108,11.0,18.0
177,71,177Lu,p,-51413.7,1.2,,106,11.0,20.0
177,71,177Lu,n,-51814.2,1.2,,106,11.0,20.0
180,71,180Lu,,-46680,70,13.9,109,11.0,17.0
178,71,178Lu,,-50337.9,2.3,,107,11.0,19.0
180,71,180Lu,n,-46060,70,,109,11.0,17.0
169,71,169Lu,,-58083,3,,98,11.0,16.0
179,71,179Lu,,-49059,5,,108,11.0,18.0
180,71,180Lu,m,-46670,70,,109,11.0,17.0
173,71,173Lu,m,-56757.3,1.6,117.181,102,11.0,20.0
170,71,170Lu,,-57306,17,,99,11.0,17.0
173,71,173Lu,,-56881,1.6,,102,11.0,20.0
174,71,174Lu,,-55570.3,1.6,44.6966,103,11.0,21.0
174,71,174Lu,m,-55399.5,1.6,,103,11.0,21.0
174,71,174Lu,n,-55329.5,1.6,,103,11.0,21.0
187,71,187Lu,,-27770.0, 400.0,,116,11.0,10.0
174,71,174Lu,p,-55205.1,1.6,,103,11.0,21.0
174,71,174Lu,q,-53714.6,1.7,,103,11.0,21.0
172,71,172Lu,q,-56522.5,2.3,41.86,101,11.0,19.0
172,71,172Lu,p,-56626.7,2.3,,101,11.0,19.0
174,71,174Lu,r,-51501.9,1.8,,103,11.0,21.0
174,71,174Lu,x,-49720.7,1.8,,103,11.0,21.0
172,71,172Lu,n,-56670.3,2.3,,101,11.0,19.0
172,71,172Lu,m,-56694.2,2.3,,101,11.0,19.0
172,71,172Lu,,-56736.1,2.3,,101,11.0,19.0
186,71,186Lu,,-30320.0, 400.0,,115,11.0,11.0
185,71,185Lu,,-33960.0, 300.0,,114,11.0,12.0
175,71,175Lu,,-55165.7,1.2,113.806,104,11.0,22.0
170,71,170Lu,m,-57213,17,,99,11.0,17.0
182,71,182Lu,,-41770.0, 200.0,,111,11.0,15.0
177,71,177Lu,m,-52233.5,1.2,,106,11.0,20.0
177,71,177Lu,,-52383.9,1.2,,106,11.0,20.0
183,71,183Lu,,-39720,80,,112,11.0,14.0
184,71,184Lu,,-36300.0, 200.0,,113,11.0,13.0
181,71,181Lu,,-44800,130,,110,11.0,16.0
188,71,188Lu,,-23820.0, 400.0,,117,11.0,9.0
171,71,171Lu,,-57828.5,1.9,71.13,100,11.0,18.0
171,71,171Lu,m,-57757.4,1.9,,100,11.0,18.0
176,71,176Lu,n,-51867.8,1.3,122.845,105,11.0,21.0
176,71,176Lu,m,-53259.5,1.2,,105,11.0,21.0
175,71,175Lu,n,-53773.3,1.3,,104,11.0,22.0
175,71,175Lu,m,-54812.2,1.2,,104,11.0,22.0
176,71,176Lu,p,-51794.5,1.3,,105,11.0,21.0
176,71,176Lu,,-53382.3,1.2,,105,11.0,21.0
168,71,168Lu,,-57070,40,,97,11.0,15.0
163,71,163Lu,,-54791,28,16.84,92,11.0,10.0
162,71,162Lu,,-52830,80,5.0,91,11.0,9.0
162,71,162Lu,m,-52710.0, 220.0,,91,11.0,9.0
162,71,162Lu,n,-52530.0, 220.0,,91,11.0,9.0
151,71,151Lu,,-30300.0, 300.0,78.0,80,11.0,2.0
159,71,159Lu,,-49710,40,,88,11.0,6.0
