AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
20,9,20F,,-17.463,0.03,656.02,11,1.0,3.0
20,9,20F,i,6503,3,,11,1.0,3.0
27,9,27F,,25130,120,777.0,18,1.0,2.0
32,10,32Ne,, 37000.0, 500.0,722.0,22,2.0,2.0
31,10,31Ne,,31180,270,,21,2.0,1.0
34,10,34Ne,, 52840.0, 510.0,,24,2.0,4.0
26,10,26Ne,,481,18,2018.0,16,2.0,4.0
28,10,28Ne,,11300,130,,18,2.0,2.0
29,10,29Ne,,18400,150,232.0,19,2.0,1.0
24,10,24Ne,,-5951.6,0.5,1981.6,14,2.0,6.0
23,10,23Ne,,-5154.05,0.1,1016.926,13,2.0,5.0
27,10,27Ne,,7050,90,765.0,17,2.0,3.0
25,10,25Ne,,-2036,29,1702.8,15,2.0,5.0
33,10,33Ne,, 46130.0, 600.0,,23,2.0,3.0
30,10,30Ne,,23280,250,792.0,20,2.0,0.0
22,10,22Ne,i,5855,10,1274.537,12,2.0,4.0
18,10,18Ne,,5317.6,0.4,1887.3,8,2.0,0.0
16,10,16Ne,,23987,20,1770.0,6,2.0,2.0
22,10,22Ne,,-8024.716,0.018,,12,2.0,4.0
21,10,21Ne,i,3129,0.3,350.727,11,2.0,3.0
21,10,21Ne,,-5731.78,0.04,,11,2.0,3.0
20,10,20Ne,,-7041.9322,0.0015,1633.674,10,2.0,2.0
19,10,19Ne,,1752.05,0.16,238.27,9,2.0,1.0
19,10,19Ne,i,9253,9,,9,2.0,1.0
17,10,17Ne,,16500.5,0.4,1288.0,7,2.0,1.0
15,10,15Ne,,40220,70,1900.0,5,2.0,3.0
20,10,20Ne,j,9690.9,2.8,,10,2.0,2.0
20,10,20Ne,i,3230.5,2,,10,2.0,2.0
26,11,26Na,,-6861,4,82.2,15,3.0,5.0
20,11,20Na,i,13348.9,1.2,596.0,9,3.0,1.0
36,11,36Na,, 45900.0, 690.0,,25,3.0,3.0
37,11,37Na,, 53130.0, 690.0,,26,3.0,2.0
30,11,30Na,,8475,5,150.62,19,3.0,1.0
26,11,26Na,m,-6779,4,,15,3.0,5.0
20,11,20Na,,6850.5,1.1,,9,3.0,1.0
25,11,25Na,,-9357.8,1.2,89.53,14,3.0,6.0
27,11,27Na,,-5518,4,62.9,16,3.0,4.0
38,11,38Na,, 61910.0, 720.0,,27,3.0,1.0
39,11,39Na,, 69980.0, 740.0,,28,3.0,0.0
19,11,19Na,,12929,11,120.0,8,3.0,0.0
28,11,28Na,,-988,10,55.2,17,3.0,3.0
31,11,31Na,,12246,14,375.0,20,3.0,0.0
17,11,17Na,,34720,60,,6,3.0,2.0
32,11,32Na,,18640,40,569.0,21,3.0,1.0
21,11,21Na,,-2184.86,0.04,331.9,10,3.0,2.0
29,11,29Na,,2680,7,72.0,18,3.0,2.0
24,11,24Na,,-8417.901,0.017,472.2074,13,3.0,5.0
22,11,22Na,,-5181.39,0.13,583.05,11,3.0,3.0
21,11,21Na,i,6790,4,,10,3.0,2.0
24,11,24Na,m,-7945.694,0.017,,13,3.0,5.0
24,11,24Na,i,-2450.53,0.13,,13,3.0,5.0
34,11,34Na,,31680,600,,23,3.0,3.0
22,11,22Na,m,-4598.34,0.16,,11,3.0,3.0
35,11,35Na,, 37830.0, 670.0,373.0,24,3.0,4.0
23,11,23Na,j,10060.6,2,440.2,12,3.0,4.0
18,11,18Na,,25040,90,300.0,7,3.0,1.0
23,11,23Na,i,-1638.7,0.3,,12,3.0,4.0
23,11,23Na,,-9529.8535,0.0018,,12,3.0,4.0
22,11,22Na,i,-4524.39,0.19,,11,3.0,3.0
33,11,33Na,,23780,450,429.0,22,3.0,2.0
28,12,28Mg,,-15019.95,0.26,1473.54,16,4.0,4.0
23,12,23Mg,,-5473.67,0.03,450.7,11,4.0,3.0
30,12,30Mg,,-8881.4,1.3,1482.8,18,4.0,2.0
38,12,38Mg,, 34070.0, 500.0,656.0,26,4.0,2.0
23,12,23Mg,i,2329.3,0.6,,11,4.0,3.0
22,12,22Mg,,-399.99,0.16,1247.02,10,4.0,2.0
27,12,27Mg,,-14586.59,0.05,984.88,15,4.0,5.0
22,12,22Mg,i,13644,6,,10,4.0,2.0
39,12,39Mg,, 42780.0, 510.0,,27,4.0,1.0
19,12,19Mg,,31840,60,1380.0,7,4.0,1.0
31,12,31Mg,,-3122,3,50.1,19,4.0,1.0
21,12,21Mg,,10903.9,0.8,201.0,9,4.0,1.0
24,12,24Mg,,-13933.578,0.013,1368.672,12,4.0,4.0
25,12,25Mg,,-13192.78,0.05,585.045,13,4.0,5.0
25,12,25Mg,i,-5405.8,0.3,,13,4.0,5.0
33,12,33Mg,,4962.9,2.7,484.1,21,4.0,1.0
36,12,36Mg,,20380,690,662.0,24,4.0,4.0
40,12,40Mg,, 49550.0, 500.0,500.0,28,4.0,0.0
29,12,29Mg,,-10612.4,0.3,54.6,17,4.0,3.0
32,12,32Mg,,-829,3,885.3,20,4.0,0.0
20,12,20Mg,,17477.7,1.9,1598.0,8,4.0,0.0
41,12,41Mg,, 58100.0, 500.0,,29,4.0,1.0
26,12,26Mg,,-16214.544,0.029,1808.74,14,4.0,6.0
24,12,24Mg,j,1502.8,0.6,,12,4.0,4.0
37,12,37Mg,,28210,700,,25,4.0,3.0
24,12,24Mg,i,-4417.3,0.04,,12,4.0,4.0
35,12,35Mg,,15640,270,,23,4.0,3.0
34,12,34Mg,,8323,7,660.0,22,4.0,2.0
40,13,40Al,, 28820.0, 300.0,,27,5.0,1.0
30,13,30Al,,-15864.1,1.9,243.9,17,5.0,3.0
22,13,22Al,, 18200.0, 400.0,1850.0,9,5.0,1.0
31,13,31Al,,-14950.7,2.2,946.7,18,5.0,2.0
38,13,38Al,, 16470.0, 150.0,,25,5.0,3.0
32,13,32Al,,-11099,7,734.7,19,5.0,1.0
32,13,32Al,m,-10142,7,,19,5.0,1.0
37,13,37Al,,9810,180,,24,5.0,4.0
36,13,36Al,,5950,150,,23,5.0,3.0
33,13,33Al,,-8497,7,747.5,20,5.0,0.0
35,13,35Al,,-224,7,802.0,22,5.0,2.0
34,13,34Al,m,-2951.1,2.1,657.0,21,5.0,1.0
39,13,39Al,, 21490.0, 300.0,800.0,26,5.0,2.0
41,13,41Al,, 34590.0, 400.0,,28,5.0,0.0
34,13,34Al,,-2997.6,2.1,,21,5.0,1.0
28,13,28Al,i,-10858.14,0.11,30.6382,15,5.0,5.0
25,13,25Al,,-8915.97,0.06,451.7,12,5.0,4.0
43,13,43Al,, 48270.0, 600.0,,30,5.0,2.0
28,13,28Al,,-16850.72,0.05,,15,5.0,5.0
21,13,21Al,, 27090.0, 600.0,,8,5.0,0.0
26,13,26Al,,-12210.14,0.07,228.305,13,5.0,5.0
26,13,26Al,m,-11981.83,0.07,,13,5.0,5.0
27,13,27Al,i,-10383.1,0.7,843.76,14,5.0,6.0
25,13,25Al,i,-1014.9,1.8,,12,5.0,4.0
24,13,24Al,i,5900,3,425.8,11,5.0,3.0
24,13,24Al,,-48.81,0.23,,11,5.0,3.0
42,13,42Al,, 41990.0, 500.0,,29,5.0,1.0
29,13,29Al,,-18207.8,0.3,1398.05,16,5.0,4.0
27,13,27Al,,-17196.86,0.05,,14,5.0,6.0
23,13,23Al,i,18470,40,550.0,10,5.0,2.0
23,13,23Al,,6748.1,0.3,,10,5.0,2.0
24,13,24Al,m,376.99,0.25,,11,5.0,3.0
26,14,26Si,,-7141,0.11,1797.3,12,6.0,4.0
32,14,32Si,,-24077.69,0.3,1941.4,18,6.0,2.0
22,14,22Si,, 33640.0, 500.0,,8,6.0,0.0
36,14,36Si,,-12440,70,1408.0,22,6.0,2.0
29,14,29Si,i,-13605,5,1273.387,15,6.0,5.0
26,14,26Si,i,5874,4,,12,6.0,4.0
24,14,24Si,,10745,19,1879.0,10,6.0,2.0
33,14,33Si,,-20514.3,0.7,1010.2,19,6.0,1.0
35,14,35Si,,-14390,40,909.95,21,6.0,1.0
34,14,34Si,m,-15735.6,0.9,3327.14,20,6.0,0.0
34,14,34Si,,-19991.7,0.8,,20,6.0,0.0
23,14,23Si,, 23950.0, 500.0,,9,6.0,1.0
25,14,25Si,,3827,10,40.0,11,6.0,3.0
45,14,45Si,, 37090.0, 600.0,,31,6.0,3.0
28,14,28Si,j,-6265.8,1,1779.03,14,6.0,6.0
44,14,44Si,, 29310.0, 500.0,,30,6.0,2.0
28,14,28Si,i,-12176.88,0.1,,14,6.0,6.0
28,14,28Si,r,-8951.75,0.05,,14,6.0,6.0
41,14,41Si,, 13200.0, 300.0,672.0,27,6.0,1.0
28,14,28Si,,-21492.7971,0.0005,,14,6.0,6.0
43,14,43Si,, 24330.0, 400.0,,29,6.0,1.0
31,14,31Si,,-22949.04,0.04,752.23,17,6.0,3.0
39,14,39Si,,2320,140,,25,6.0,3.0
42,14,42Si,, 16840.0, 300.0,742.0,28,6.0,0.0
29,14,29Si,,-21895.0815,0.0006,,15,6.0,5.0
40,14,40Si,,5670,120,986.0,26,6.0,2.0
38,14,38Si,,-4170,100,1074.0,24,6.0,4.0
27,14,27Si,i,-5759.5,2.3,780.9,13,6.0,5.0
27,14,27Si,,-12384.51,0.11,,13,6.0,5.0
37,14,37Si,,-6570,110,68.2,23,6.0,3.0
30,14,30Si,,-24432.962,0.022,2235.322,16,6.0,4.0
34,15,34P,,-24548.7,0.8,429.09,19,5.0,1.0
40,15,40P,,-8140,80,,25,5.0,3.0
41,15,41P,,-4980,120,172.0,26,5.0,2.0
46,15,46P,, 22840.0, 500.0,,31,5.0,3.0
39,15,39P,,-12770,110,355.0,24,5.0,4.0
35,15,35P,,-24857.8,1.9,2386.6,20,5.0,0.0
43,15,43P,,  5040.0, 300.0,184.0,28,5.0,0.0
45,15,45P,, 15960.0, 500.0,,30,5.0,2.0
38,15,38P,,-14620,70,380.0,23,5.0,3.0
36,15,36P,,-20251,13,249.9,21,5.0,1.0
