AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
26,12,26Mg,,-16214.544,0.028999999999999998,1808.74,14,4.0,6.0,10.0
34,12,34Mg,,8323.0,7.0,660.0,22,4.0,2.0,6.0
30,13,30Al,,-15864.1,1.9,243.9,17,5.0,3.0,8.0
22,13,22Al,,18200.0,400.0,1850.0,9,5.0,1.0,6.0
31,13,31Al,,-14950.7,2.2,946.7,18,5.0,2.0,7.0
32,13,32Al,,-11099.0,7.0,734.7,19,5.0,1.0,6.0
33,13,33Al,,-8497.0,7.0,747.5,20,5.0,0.0,5.0
35,13,35Al,,-224.0,7.0,802.0,22,5.0,2.0,7.0
34,13,34Al,m,-2951.1,2.1,657.0,21,5.0,1.0,6.0
39,13,39Al,,21490.0,300.0,800.0,26,5.0,2.0,7.0
28,13,28Al,i,-10858.14,0.11,30.6382,15,5.0,5.0,10.0
25,13,25Al,,-8915.97,0.06,451.7,12,5.0,4.0,9.0
26,13,26Al,,-12210.14,0.07,228.305,13,5.0,5.0,10.0
27,13,27Al,i,-10383.1,0.7,843.76,14,5.0,6.0,11.0
24,13,24Al,i,5900.0,3.0,425.8,11,5.0,3.0,8.0
29,13,29Al,,-18207.8,0.3,1398.05,16,5.0,4.0,9.0
23,13,23Al,i,18470.0,40.0,550.0,10,5.0,2.0,7.0
26,14,26Si,,-7141.0,0.11,1797.3,12,6.0,4.0,10.0
32,14,32Si,,-24077.69,0.3,1941.4,18,6.0,2.0,8.0
36,14,36Si,,-12440.0,70.0,1408.0,22,6.0,2.0,8.0
29,14,29Si,i,-13605.0,5.0,1273.387,15,6.0,5.0,11.0
24,14,24Si,,10745.0,19.0,1879.0,10,6.0,2.0,8.0
33,14,33Si,,-20514.3,0.7,1010.2,19,6.0,1.0,7.0
35,14,35Si,,-14390.0,40.0,909.95,21,6.0,1.0,7.0
34,14,34Si,m,-15735.6,0.9,3327.14,20,6.0,0.0,6.0
25,14,25Si,,3827.0,10.0,40.0,11,6.0,3.0,9.0
28,14,28Si,j,-6265.8,1.0,1779.03,14,6.0,6.0,12.0
41,14,41Si,,13200.0,300.0,672.0,27,6.0,1.0,7.0
31,14,31Si,,-22949.04,0.04,752.23,17,6.0,3.0,9.0
42,14,42Si,,16840.0,300.0,742.0,28,6.0,0.0,6.0
40,14,40Si,,5670.0,120.0,986.0,26,6.0,2.0,8.0
38,14,38Si,,-4170.0,100.0,1074.0,24,6.0,4.0,10.0
27,14,27Si,i,-5759.5,2.3,780.9,13,6.0,5.0,11.0
37,14,37Si,,-6570.0,110.0,68.2,23,6.0,3.0,9.0
30,14,30Si,,-24432.962000000003,0.022000000000000002,2235.322,16,6.0,4.0,10.0
34,15,34P,,-24548.7,0.8,429.09,19,5.0,1.0,6.0
41,15,41P,,-4980.0,120.0,172.0,26,5.0,2.0,7.0
39,15,39P,,-12770.0,110.0,355.0,24,5.0,4.0,9.0
35,15,35P,,-24857.8,1.9,2386.6,20,5.0,0.0,5.0
43,15,43P,,5040.0,300.0,184.0,28,5.0,0.0,5.0
38,15,38P,,-14620.0,70.0,380.0,23,5.0,3.0,8.0
36,15,36P,,-20251.0,13.0,249.9,21,5.0,1.0,6.0
37,15,37P,,-19000.0,40.0,861.0,22,5.0,2.0,7.0
31,15,31P,,-24440.5444,0.0007,1266.13,16,5.0,4.0,9.0
26,15,26P,,10970.0,200.0,164.4,11,5.0,3.0,8.0
32,15,32P,i,-19232.44,0.07,78.06,17,5.0,3.0,8.0
33,15,33P,,-26337.4,1.1,1431.7,18,5.0,2.0,7.0
27,15,27P,,-659.0,9.0,1120.0,12,5.0,4.0,9.0
30,15,30P,i,-19523.85,0.08,677.01,15,5.0,5.0,10.0
28,15,28P,i,-1261.0,20.0,105.64,13,5.0,5.0,10.0
29,15,29P,i,-8571.0,2.5,1383.55,14,5.0,6.0,11.0
44,16,44S,,-9204.0,5.0,1329.0,28,4.0,0.0,4.0
32,16,32S,j,-13967.58,0.28,2230.57,16,4.0,4.0,8.0
37,16,37S,,-26896.43,0.2,646.177,21,4.0,1.0,5.0
29,16,29S,,-3094.0,13.0,1222.0,13,4.0,5.0,9.0
38,16,38S,,-26861.0,7.0,1292.02,22,4.0,2.0,6.0
41,16,41S,,-19009.0,4.0,449.0,25,4.0,3.0,7.0
31,16,31S,,-19042.53,0.23,1248.87,15,4.0,5.0,9.0
34,16,34S,,-29931.69,0.04,2127.564,18,4.0,2.0,6.0
42,16,42S,,-17637.7,2.8,903.0,26,4.0,2.0,6.0
40,16,40S,,-22838.0,4.0,903.69,24,4.0,4.0,8.0
33,16,33S,i,-21106.07,0.13,840.982,17,4.0,3.0,7.0
36,16,36S,,-30664.14,0.19,3290.9,20,4.0,0.0,4.0
28,16,28S,,4070.0,160.0,1507.0,12,4.0,4.0,8.0
35,16,35S,,-28846.21,0.04,1572.378,19,4.0,1.0,5.0
30,16,30S,,-14059.25,0.21,2210.6,14,4.0,6.0,10.0
46,16,46S,,640.0,400.0,952.0,30,4.0,2.0,6.0
43,16,43S,,-12195.0,5.0,320.7,27,4.0,1.0,5.0
39,16,39S,,-23160.0,50.0,58.73,23,4.0,3.0,7.0
40,17,40Cl,,-27560.0,30.0,211.62,23,3.0,3.0,6.0
38,17,38Cl,,-29798.12,0.1,671.365,21,3.0,1.0,4.0
29,17,29Cl,,14020.0,190.0,500.0,12,3.0,4.0,7.0
39,17,39Cl,,-29800.2,1.7,396.42,22,3.0,2.0,5.0
36,17,36Cl,i,-25222.34,0.04,788.4328,19,3.0,1.0,4.0
31,17,31Cl,i,5256.0,3.0,750.0,14,3.0,6.0,9.0
42,17,42Cl,,-24830.0,60.0,118.19,25,3.0,3.0,6.0
33,17,33Cl,i,-15454.9,0.5,810.55,16,3.0,4.0,7.0
34,17,34Cl,,-24440.09,0.05,146.36,17,3.0,3.0,6.0
35,17,35Cl,,-29013.53,0.04,1219.29,18,3.0,2.0,5.0
46,17,46Cl,,-13730.0,100.0,118.0,29,3.0,1.0,4.0
32,17,32Cl,i,-8288.4,0.7,89.9,15,3.0,5.0,8.0
43,17,43Cl,,-24160.0,60.0,328.0,26,3.0,2.0,5.0
41,17,41Cl,,-27310.0,70.0,129.7,24,3.0,4.0,7.0
37,17,37Cl,,-31761.55,0.05,1726.58,20,3.0,0.0,3.0
45,17,45Cl,,-18260.0,140.0,127.0,28,3.0,0.0,3.0
44,17,44Cl,,-20480.0,90.0,475.0,27,3.0,1.0,4.0
41,18,41Ar,,-33067.5,0.3,167.11,23,2.0,3.0,5.0
52,18,52Ar,,-1380.0,600.0,1656.0,34,2.0,6.0,8.0
40,18,40Ar,,-35039.9,0.0022,1460.849,22,2.0,2.0,4.0
