AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
102,42,102Mo,,-83561.0,8.0,296.61,60,8.0,10.0,18.0
93,42,93Mo,n,-77112.0,17.0,943.28,51,8.0,1.0,9.0
92,42,92Mo,m,-84048.07,0.21,1509.51,50,8.0,0.0,8.0
104,42,104Mo,,-80344.0,9.0,192.19,62,8.0,12.0,20.0
84,42,84Mo,,-54170.0,300.0,443.9,42,8.0,8.0,16.0
108,42,108Mo,,-70749.0,9.0,192.79,66,8.0,16.0,24.0
98,42,98Mo,,-88115.98,0.17,734.75,56,8.0,6.0,14.0
106,42,106Mo,,-76128.0,9.0,171.549,64,8.0,14.0,22.0
100,42,100Mo,,-86193.0,0.3,535.59,58,8.0,8.0,16.0
96,42,96Mo,,-88794.89,0.12,778.237,54,8.0,4.0,12.0
90,42,90Mo,,-80173.0,3.0,948.02,48,8.0,2.0,10.0
91,42,91Mo,m,-81556.0,6.0,653.01,49,8.0,1.0,9.0
109,42,109Mo,m,-66589.0,11.0,69.7,67,8.0,15.0,23.0
86,42,86Mo,,-64110.9,2.9,566.6,44,8.0,6.0,14.0
103,42,103Mo,,-80954.0,9.0,102.561,61,8.0,11.0,19.0
95,42,95Mo,,-87711.87,0.12,59.3,53,8.0,3.0,11.0
105,42,105Mo,,-77331.0,9.0,94.85,63,8.0,13.0,21.0
101,42,101Mo,,-83520.0,0.3,13.497,59,8.0,9.0,17.0
107,42,107Mo,m,-72480.0,9.0,65.4,65,8.0,15.0,23.0
87,42,87Mo,,-66884.8,2.9,31.56,45,8.0,5.0,13.0
110,42,110Mo,,-64536.0,24.0,213.77,68,8.0,14.0,22.0
88,42,88Mo,,-72687.0,4.0,740.54,46,8.0,4.0,12.0
94,42,94Mo,,-88414.08,0.14,871.0980000000002,52,8.0,2.0,10.0
97,42,97Mo,,-87544.7,0.16,275.0,55,8.0,5.0,13.0
91,43,91Tc,m,-75847.4,2.4,139.3,48,7.0,2.0,9.0
101,43,101Tc,m,-86137.0,24.0,9.32,58,7.0,8.0,15.0
99,43,99Tc,,-87327.9,0.9,140.511,56,7.0,6.0,13.0
92,43,92Tc,n,-78397.0,3.0,213.75,49,7.0,1.0,8.0
100,43,100Tc,m,-85820.3,1.4,172.15,57,7.0,7.0,14.0
111,43,111Tc,,-69025.0,11.0,67.3,68,7.0,14.0,21.0
89,43,89Tc,m,-67332.0,4.0,62.6,46,7.0,4.0,11.0
90,43,90Tc,,-70724.7,1.0,103.7,47,7.0,3.0,10.0
110,43,110Tc,,-71035.0,9.0,39.5,67,7.0,15.0,22.0
105,43,105Tc,,-82290.0,40.0,76.92,62,7.0,12.0,19.0
95,43,95Tc,m,-85982.0,5.0,38.91,52,7.0,2.0,9.0
97,43,97Tc,,-87224.0,4.0,96.57,54,7.0,4.0,11.0
94,43,94Tc,,-84158.0,4.0,76.0,51,7.0,1.0,8.0
87,43,87Tc,n,-57619.0,4.0,712.0,44,7.0,6.0,13.0
96,43,96Tc,m,-85788.0,5.0,34.23,53,7.0,3.0,10.0
86,43,86Tc,,-51570.0,300.0,593.0,43,7.0,7.0,14.0
103,43,103Tc,,-84604.0,10.0,45.86,60,7.0,10.0,17.0
106,43,106Tc,,-79776.0,12.0,53.9,63,7.0,13.0,20.0
109,43,109Tc,,-74283.0,10.0,7.0,66,7.0,16.0,23.0
112,43,112Tc,,-65259.0,6.0,258.0,69,7.0,13.0,20.0
113,43,113Tc,,-62812.0,3.0,114.4,70,7.0,12.0,19.0
98,43,98Tc,m,-86341.0,3.0,21.8,55,7.0,5.0,12.0
93,43,93Tc,,-83606.1,1.0,391.84,50,7.0,0.0,7.0
104,43,104Tc,n,-82393.0,25.0,69.7,61,7.0,11.0,18.0
108,44,108Ru,,-83661.0,9.0,242.23,64,6.0,14.0,20.0
107,44,107Ru,,-83863.0,9.0,102.681,63,6.0,13.0,19.0
102,44,102Ru,,-89106.4,0.4,475.0962,58,6.0,8.0,14.0
105,44,105Ru,,-85934.5,2.5,20.606,61,6.0,11.0,17.0
103,44,103Ru,,-87267.2,0.4,2.81,59,6.0,9.0,15.0
104,44,104Ru,,-88095.8,2.5,358.02,60,6.0,10.0,16.0
106,44,106Ru,,-86323.0,5.0,270.07,62,6.0,12.0,18.0
90,44,90Ru,,-64884.0,4.0,738.1,46,6.0,4.0,10.0
101,44,101Ru,m,-87430.5,0.4,127.229,57,6.0,7.0,13.0
117,44,117Ru,,-59490.0,430.0,57.7,73,6.0,9.0,15.0
109,44,109Ru,,-80738.0,9.0,68.75,65,6.0,15.0,21.0
118,44,118Ru,,-57000.0,200.0,327.6,74,6.0,8.0,14.0
95,44,95Ru,,-83458.0,10.0,787.7,51,6.0,1.0,7.0
119,44,119Ru,,-52080.0,300.0,136.3,75,6.0,7.0,13.0
94,44,94Ru,m,-79940.0,3.0,1430.71,50,6.0,0.0,6.0
96,44,96Ru,,-86080.39,0.17,832.56,52,6.0,2.0,8.0
88,44,88Ru,,-54340.0,300.0,616.2,44,6.0,6.0,12.0
93,44,93Ru,m,-76482.3,2.1,734.4,49,6.0,1.0,7.0
92,44,92Ru,m,-71467.0,3.0,865.7,48,6.0,2.0,8.0
89,44,89Ru,,-58369.0,24.0,863.7,45,6.0,5.0,11.0
116,44,116Ru,,-64069.0,4.0,292.43,72,6.0,10.0,16.0
114,44,114Ru,,-70221.0,4.0,265.19,70,6.0,12.0,18.0
112,44,112Ru,,-75631.0,10.0,236.69,68,6.0,14.0,20.0
99,44,99Ru,,-87625.4,0.3,89.57,55,6.0,5.0,11.0
98,44,98Ru,,-88225.0,6.0,652.46,54,6.0,4.0,10.0
113,44,113Ru,,-71870.0,40.0,98.4,69,6.0,13.0,19.0
110,44,110Ru,,-80073.0,9.0,240.73,66,6.0,16.0,22.0
111,44,111Ru,,-76785.0,10.0,9.7,67,6.0,15.0,21.0
97,44,97Ru,,-86120.6,2.8,189.22,53,6.0,3.0,9.0
100,44,100Ru,,-89227.4,0.3,539.5103,56,6.0,6.0,12.0
115,44,115Ru,,-66105.0,25.0,61.7,71,6.0,11.0,17.0
109,45,109Rh,,-84999.0,4.0,206.25,64,5.0,14.0,19.0
106,45,106Rh,m,-86231.0,10.0,137.0,61,5.0,11.0,16.0
122,45,122Rh,,-51880.0,300.0,207.1,77,5.0,5.0,10.0
108,45,108Rh,m,-84917.0,12.0,14.54,63,5.0,13.0,18.0
107,45,107Rh,m,-86596.0,12.0,194.048,62,5.0,12.0,17.0
111,45,111Rh,,-82304.0,7.0,211.53,66,5.0,16.0,21.0
116,45,116Rh,,-70740.0,70.0,150.0,71,5.0,11.0,16.0
114,45,114Rh,m,-75510.0,170.0,127.0,69,5.0,13.0,18.0
113,45,113Rh,,-78767.0,7.0,211.72,68,5.0,14.0,19.0
120,45,120Rh,,-58620.0,200.0,98.1,75,5.0,7.0,12.0
112,45,112Rh,m,-79390.0,60.0,82.27,67,5.0,15.0,20.0
115,45,115Rh,,-74229.0,7.0,213.31,70,5.0,12.0,17.0
101,45,101Rh,m,-87255.0,6.0,157.32,56,5.0,6.0,11.0
105,45,105Rh,m,-87721.6,2.5,129.74200000000002,60,5.0,10.0,15.0
91,45,91Rh,,-58570.0,300.0,172.9,46,5.0,4.0,9.0
95,45,95Rh,m,-77798.0,4.0,543.3,50,5.0,0.0,5.0
104,45,104Rh,,-86959.3,2.3,51.42324,59,5.0,9.0,14.0
94,45,94Rh,,-72908.0,3.0,54.6,49,5.0,1.0,6.0
98,45,98Rh,m,-83119.0,12.0,48.5,53,5.0,3.0,8.0
100,45,100Rh,,-85591.0,18.0,32.686,55,5.0,5.0,10.0
103,45,103Rh,m,-87991.9,2.3,39.753,58,5.0,8.0,13.0
102,45,102Rh,m,-86642.0,6.0,41.94,57,5.0,7.0,12.0
97,45,97Rh,,-82600.0,40.0,258.76,52,5.0,2.0,7.0
96,45,96Rh,,-79688.0,10.0,51.98,51,5.0,1.0,6.0
99,45,99Rh,,-85585.0,19.0,64.4,54,5.0,4.0,9.0
93,45,93Rh,,-69011.8,2.6,240.1,48,5.0,2.0,7.0
101,46,101Pd,,-85432.0,5.0,80.3,55,4.0,5.0,9.0
109,46,109Pd,n,-87417.5,1.1,113.4,63,4.0,13.0,17.0
120,46,120Pd,,-70279.6,2.3,438.0,74,4.0,8.0,12.0
93,46,93Pd,,-58980.0,370.0,983.5,47,4.0,3.0,7.0
94,46,94Pd,,-66102.0,4.0,813.8,48,4.0,2.0,6.0
113,46,113Pd,,-83590.0,7.0,35.08,67,4.0,15.0,19.0
97,46,97Pd,,-77806.0,5.0,686.62,51,4.0,1.0,5.0
114,46,114Pd,,-83490.0,7.0,332.61,68,4.0,14.0,18.0
112,46,112Pd,,-86321.0,7.0,348.66,66,4.0,16.0,20.0
115,46,115Pd,,-80426.0,14.0,89.21,69,4.0,13.0,17.0
96,46,96Pd,m,-73652.0,4.0,1415.31,50,4.0,0.0,4.0
116,46,116Pd,,-79831.0,7.0,340.26,70,4.0,12.0,16.0
111,46,111Pd,m,-85813.7,0.7,72.2,65,4.0,15.0,19.0
99,46,99Pd,,-82183.0,5.0,219.89,53,4.0,3.0,7.0
95,46,95Pd,m,-68091.0,3.0,1261.8,49,4.0,1.0,5.0
117,46,117Pd,,-76424.0,7.0,34.64,71,4.0,11.0,15.0
118,46,118Pd,,-75388.4,2.5,378.6,72,4.0,10.0,14.0
121,46,121Pd,,-66182.0,3.0,135.0,75,4.0,7.0,11.0
110,46,110Pd,,-88330.9,0.6,373.8,64,4.0,14.0,18.0
100,46,100Pd,,-85213.0,18.0,665.49,54,4.0,4.0,8.0
105,46,105Pd,,-88417.9,1.1,280.62,59,4.0,9.0,13.0
107,46,107Pd,,-88372.7,1.2,115.74,61,4.0,11.0,15.0
103,46,103Pd,,-87457.0,0.9,118.736,57,4.0,7.0,11.0
124,46,124Pd,,-58400.0,300.0,590.0,78,4.0,4.0,8.0
104,46,104Pd,,-89395.1,1.3,555.81,58,4.0,8.0,12.0
128,46,128Pd,m,-42240.0,500.0,1311.4,82,4.0,0.0,4.0
126,46,126Pd,,-51790.0,400.0,693.3,80,4.0,2.0,6.0
106,46,106Pd,,-89907.5,1.1,511.85,60,4.0,10.0,14.0
98,46,98Pd,,-81321.0,5.0,862.69,52,4.0,2.0,6.0
108,46,108Pd,,-89524.2,1.1,433.9380000000001,62,4.0,12.0,16.0
102,46,102Pd,,-87903.0,0.4,556.44,56,4.0,6.0,10.0
122,46,122Pd,,-64616.0,20.0,499.0,76,4.0,6.0,10.0
92,46,92Pd,,-54780.0,350.0,873.6,46,4.0,4.0,8.0
123,47,123Ag,n,-68120.0,30.0,26.96,76,3.0,6.0,9.0
115,47,115Ag,,-84983.0,18.0,41.16,68,3.0,14.0,17.0
120,47,120Ag,n,-75449.0,4.0,52.5,73,3.0,9.0,12.0
116,47,116Ag,,-82543.0,3.0,47.9,69,3.0,13.0,16.0
113,47,113Ag,,-87027.0,17.0,43.5,66,3.0,16.0,19.0
97,47,97Ag,m,-70290.0,40.0,1289.91,50,3.0,0.0,3.0
114,47,114Ag,,-84931.0,5.0,126.7,67,3.0,15.0,18.0
118,47,118Ag,m,-79508.0,2.5,45.79,71,3.0,11.0,14.0
95,47,95Ag,p,-55050.0,400.0,77.4,48,3.0,2.0,5.0
117,47,117Ag,,-82182.0,14.0,28.6,70,3.0,12.0,15.0
110,47,110Ag,,-87457.3,1.3,1.112,63,3.0,13.0,16.0
98,47,98Ag,m,-72960.0,30.0,107.28,51,3.0,1.0,4.0
102,47,102Ag,m,-82238.0,8.0,9.4,55,3.0,5.0,8.0
111,47,111Ag,,-88215.4,1.5,59.82,64,3.0,14.0,17.0
99,47,99Ag,,-76712.0,6.0,342.6,52,3.0,2.0,5.0
108,47,108Ag,m,-87497.3,2.4,79.1401,61,3.0,11.0,14.0
101,47,101Ag,,-81334.0,5.0,98.0,54,3.0,4.0,7.0
109,47,109Ag,,-88719.4,1.3,88.0337,62,3.0,12.0,15.0
112,47,112Ag,,-86583.7,2.4,18.5,65,3.0,15.0,18.0
103,47,103Ag,m,-84669.0,4.0,27.54,56,3.0,6.0,9.0
107,47,107Ag,m,-88313.6,2.4,93.125,60,3.0,10.0,13.0
105,47,105Ag,,-87071.0,5.0,25.468000000000004,58,3.0,8.0,11.0
104,47,104Ag,m,-85109.0,4.0,6.9,57,3.0,7.0,10.0
106,47,106Ag,m,-86852.0,3.0,89.66,59,3.0,9.0,12.0
100,47,100Ag,m,-78122.0,5.0,15.52,53,3.0,3.0,6.0
111,48,111Cd,,-89252.2,0.4,245.39,63,2.0,13.0,15.0
124,48,124Cd,,-76699.4,2.6,612.8,76,2.0,6.0,8.0
101,48,101Cd,,-75836.5,1.5,252.0,53,2.0,3.0,5.0
120,48,120Cd,,-83957.0,4.0,505.94,72,2.0,10.0,12.0
126,48,126Cd,,-72255.7,2.3,651.96,78,2.0,4.0,6.0
116,48,116Cd,,-88712.49,0.16,513.49,68,2.0,14.0,16.0
106,48,106Cd,,-87132.2,1.1,632.64,58,2.0,8.0,10.0
99,48,99Cd,,-69931.1,1.6,440.8,51,2.0,1.0,3.0
132,48,132Cd,,-50470.0,60.0,618.0,84,2.0,2.0,4.0
128,48,128Cd,,-67238.0,6.0,645.8,80,2.0,2.0,4.0
118,48,118Cd,,-86702.0,20.0,487.77,70,2.0,12.0,14.0
100,48,100Cd,,-74194.6,1.7,1004.11,52,2.0,2.0,4.0
110,48,110Cd,,-90348.0,0.4,657.7623,62,2.0,12.0,14.0
109,48,109Cd,n,-88041.2,1.5,59.6,61,2.0,11.0,13.0
119,48,119Cd,,-83980.0,40.0,27.0,71,2.0,11.0,13.0
117,48,117Cd,m,-86282.0,1.0,135.4,69,2.0,13.0,15.0
108,48,108Cd,,-89252.4,1.1,632.988,60,2.0,10.0,12.0
121,48,121Cd,,-81073.8,1.9,7.52,73,2.0,9.0,11.0
104,48,104Cd,,-83968.4,1.7,658.0,56,2.0,6.0,8.0
102,48,102Cd,,-79659.7,1.7,776.55,54,2.0,4.0,6.0
122,48,122Cd,,-80612.4,2.3,569.45,74,2.0,8.0,10.0
103,48,103Cd,,-80651.6,1.8,187.89,55,2.0,5.0,7.0
112,48,112Cd,,-90574.86,0.25,617.518,64,2.0,14.0,16.0
130,48,130Cd,,-61118.0,22.0,1325.0,82,2.0,0.0,2.0
107,48,107Cd,,-86990.3,1.7,204.98,59,2.0,9.0,11.0
123,48,123Cd,,-77414.2,2.7,116.4,75,2.0,7.0,9.0
113,48,113Cd,m,-88779.75,0.24,263.54,65,2.0,15.0,17.0
105,48,105Cd,m,-81816.2,1.5,131.2,57,2.0,7.0,9.0
114,48,114Cd,,-90014.93,0.28,558.456,66,2.0,16.0,18.0
98,48,98Cd,n,-61010.0,50.0,1395.1,50,2.0,0.0,2.0
115,48,115Cd,m,-87903.5,0.9,181.0,67,2.0,15.0,17.0
128,49,128In,,-74190.1,1.3,247.87,79,1.0,3.0,4.0
125,49,125In,m,-80060.0,12.0,360.12,76,1.0,6.0,7.0
129,49,129In,m,-72384.2,2.0,459.0,80,1.0,2.0,3.0
109,49,109In,m,-85840.0,4.0,649.79,60,1.0,10.0,11.0
107,49,107In,,-83567.0,10.0,678.5,58,1.0,8.0,9.0
106,49,106In,m,-80579.0,12.0,28.6,57,1.0,7.0,8.0
123,49,123In,,-83429.0,20.0,327.21,74,1.0,8.0,9.0
121,49,121In,n,-83290.0,100.0,313.68,72,1.0,10.0,11.0
108,49,108In,m,-84090.0,9.0,29.75,59,1.0,9.0,10.0
101,49,101In,m,-67910.0,40.0,1309.7,52,1.0,2.0,3.0
119,49,119In,m,-87388.0,7.0,311.37,70,1.0,12.0,13.0
130,49,130In,m,-69840.0,2.0,50.0,81,1.0,1.0,2.0
102,49,102In,,-70695.0,5.0,94.0,53,1.0,3.0,4.0
122,49,122In,,-83570.0,50.0,40.0,73,1.0,9.0,10.0
131,49,131In,,-68024.4,2.2,302.0,82,1.0,0.0,1.0
132,49,132In,,-62410.0,60.0,25.0,83,1.0,1.0,2.0
112,49,112In,n,-87639.0,4.0,156.592,63,1.0,13.0,14.0
105,49,105In,m,-78967.0,10.0,674.09,56,1.0,6.0,7.0
103,49,103In,m,-74000.0,9.0,631.7,54,1.0,4.0,5.0
133,49,133In,,-57690.0,200.0,330.0,84,1.0,2.0,3.0
126,49,126In,,-77809.0,4.0,90.0,77,1.0,5.0,6.0
114,49,114In,,-88569.8,0.3,190.2682,65,1.0,15.0,16.0
116,49,116In,n,-87960.1,0.22,127.267,67,1.0,15.0,16.0
115,49,115In,m,-89200.11300000001,0.021,336.244,66,1.0,16.0,17.0
98,49,98In,m,-53090.0,790.0,820.0,49,1.0,1.0,2.0
127,49,127In,p,-74515.0,10.0,408.9,78,1.0,4.0,5.0
104,49,104In,,-76183.0,6.0,85.389,55,1.0,5.0,6.0
117,49,117In,,-88943.0,5.0,315.303,68,1.0,14.0,15.0
111,49,111In,m,-87855.0,3.0,536.99,62,1.0,12.0,13.0
97,49,97In,m,-46990.0,410.0,610.0,48,1.0,2.0,3.0
113,49,113In,,-89367.12,0.19,391.699,64,1.0,14.0,15.0
118,49,118In,n,-86990.0,50.0,60.0,69,1.0,13.0,14.0
110,49,110In,,-86470.0,12.0,62.08,61,1.0,11.0,12.0
124,49,124In,m,-80890.0,50.0,36.53,75,1.0,7.0,8.0
122,50,122Sn,n,-87174.5,2.4,1140.51,72,0.0,10.0,10.0
123,50,123Sn,p,-85662.0,2.5,24.6,73,0.0,9.0,9.0
128,50,128Sn,,-83361.0,18.0,1168.82,78,0.0,4.0,4.0
127,50,127Sn,,-83470.0,9.0,5.07,77,0.0,5.0,5.0
124,50,124Sn,p,-85574.9,1.3,1131.739,74,0.0,8.0,8.0
103,50,103Sn,,-67090.0,100.0,168.0,53,0.0,3.0,3.0
130,50,130Sn,,-80132.2,1.9,1221.26,80,0.0,2.0,2.0
101,50,101Sn,,-60310.0,300.0,171.7,51,0.0,1.0,1.0
129,50,129Sn,q,-78038.0,17.0,35.15,79,0.0,3.0,3.0
114,50,114Sn,m,-87472.37,0.08,1299.907,64,0.0,14.0,14.0
112,50,112Sn,,-88655.05,0.29,1256.69,62,0.0,12.0,12.0
107,50,107Sn,,-78512.0,5.0,151.2,57,0.0,7.0,7.0
136,50,136Sn,,-56170.0,200.0,688.0,86,0.0,4.0,4.0
113,50,113Sn,m,-88250.7,1.6,77.389,63,0.0,13.0,13.0
118,50,118Sn,n,-88544.7,0.5,1229.6660000000004,68,0.0,14.0,14.0
121,50,121Sn,q,-86362.7,1.0,6.31,71,0.0,11.0,11.0
125,50,125Sn,,-85893.7,1.3,27.5,75,0.0,7.0,7.0
119,50,119Sn,p,-87696.0,0.8,23.871,69,0.0,13.0,13.0
117,50,117Sn,m,-90083.1,0.5,158.562,67,0.0,15.0,15.0
104,50,104Sn,,-71627.0,6.0,1260.1,54,0.0,4.0,4.0
132,50,132Sn,m,-71698.1,2.0,4041.2,82,0.0,0.0,0.0
109,50,109Sn,,-82630.0,8.0,13.97,59,0.0,9.0,9.0
110,50,110Sn,,-85842.0,14.0,1212.02,60,0.0,10.0,10.0
106,50,106Sn,,-77354.0,5.0,1207.7,56,0.0,6.0,6.0
105,50,105Sn,,-73338.0,4.0,199.7,55,0.0,5.0,5.0
115,50,115Sn,,-90033.84599999999,0.015,497.334,65,0.0,15.0,15.0
134,50,134Sn,m,-65187.0,3.0,725.6,84,0.0,2.0,2.0
108,50,108Sn,,-82070.0,5.0,1206.07,58,0.0,8.0,8.0
126,50,126Sn,p,-81668.0,11.0,1141.15,76,0.0,6.0,6.0
138,50,138Sn,,-45510.0,400.0,715.0,88,0.0,6.0,6.0
111,50,111Sn,m,-85684.0,5.0,154.48,61,0.0,11.0,11.0
116,50,116Sn,,-91525.98,0.1,1293.56,66,0.0,16.0,16.0
120,50,120Sn,n,-88195.5,0.9,1171.265,70,0.0,12.0,12.0
133,50,133Sn,,-70873.9,1.9,853.7,83,0.0,1.0,1.0
136,51,136Sb,,-64507.0,6.0,43.4,85,1.0,3.0,4.0
124,51,124Sb,m,-87608.2,1.4,10.8627,73,1.0,9.0,10.0
126,51,126Sb,q,-84580.0,30.0,17.7,75,1.0,7.0,8.0
105,51,105Sb,,-64015.0,22.0,1219.41,54,1.0,4.0,5.0
127,51,127Sb,,-86698.0,5.0,490.94,76,1.0,6.0,7.0
125,51,125Sb,q,-85784.1,2.5,332.06,74,1.0,8.0,9.0
106,51,106Sb,m,-66370.0,7.0,103.5,55,1.0,5.0,6.0
116,51,116Sb,m,-86728.0,5.0,93.99,65,1.0,15.0,16.0
131,51,131Sb,,-81981.4,2.1,798.4939999999998,80,1.0,2.0,3.0
119,51,119Sb,n,-86634.0,7.0,270.52,68,1.0,14.0,15.0
109,51,109Sb,,-76251.0,5.0,402.0,58,1.0,8.0,9.0
114,51,114Sb,m,-84002.0,20.0,27.33,63,1.0,13.0,14.0
134,51,134Sb,m,-73740.0,3.0,13.0,83,1.0,1.0,2.0
118,51,118Sb,n,-87746.0,5.0,31.26,67,1.0,15.0,16.0
110,51,110Sb,,-77450.0,6.0,194.7,59,1.0,9.0,10.0
133,51,133Sb,m,-74383.0,9.0,962.3,82,1.0,0.0,1.0
117,51,117Sb,,-88640.0,8.0,527.31,66,1.0,16.0,17.0
111,51,111Sb,,-80837.0,9.0,487.4,60,1.0,10.0,11.0
115,51,115Sb,m,-84207.0,16.0,723.5830000000002,64,1.0,14.0,15.0
135,51,135Sb,,-69690.3,2.6,281.8,84,1.0,2.0,3.0
113,51,113Sb,,-84417.0,17.0,644.78,62,1.0,12.0,13.0
112,51,112Sb,,-81599.0,18.0,38.4,61,1.0,11.0,12.0
129,51,129Sb,p,-82490.0,21.0,645.14,78,1.0,4.0,5.0
123,51,123Sb,,-89222.9,1.4,160.33,72,1.0,10.0,11.0
107,51,107Sb,,-70653.0,4.0,768.62,56,1.0,6.0,7.0
130,51,130Sb,q,-80741.0,14.0,4.8,79,1.0,3.0,4.0
121,51,121Sb,m,-86848.0,17.0,37.1298,70,1.0,12.0,13.0
108,51,108Sb,,-72445.0,5.0,259.5,57,1.0,7.0,8.0
140,51,140Sb,m,-44060.0,600.0,70.9,89,1.0,7.0,8.0
135,52,135Te,,-77728.8,1.7,658.65,83,2.0,1.0,3.0
136,52,136Te,,-74425.3,2.3,606.64,84,2.0,2.0,4.0
133,52,133Te,n,-81326.7,2.2,308.242,81,2.0,1.0,3.0
134,52,134Te,m,-80842.5,2.7,1279.11,82,2.0,0.0,2.0
137,52,137Te,,-69303.8,2.1,608.2,85,2.0,3.0,5.0
131,52,131Te,,-85211.02,0.06,182.258,79,2.0,3.0,5.0
138,52,138Te,,-65696.0,4.0,460.8,86,2.0,4.0,6.0
128,52,128Te,,-88993.8,0.7,743.216,76,2.0,6.0,8.0
129,52,129Te,,-87004.9,0.7,105.51,77,2.0,5.0,7.0
140,52,140Te,,-56367.0,14.0,422.9,88,2.0,6.0,8.0
130,52,130Te,,-87352.96,0.011000000000000001,839.4939999999998,78,2.0,4.0,6.0
139,52,139Te,,-60205.0,4.0,271.0,87,2.0,5.0,7.0
127,52,127Te,m,-88192.3,1.4,61.161,75,2.0,7.0,9.0
132,52,132Te,,-85188.0,3.0,974.22,80,2.0,2.0,4.0
114,52,114Te,,-81890.0,24.0,708.74,62,2.0,12.0,14.0
117,52,117Te,,-85096.0,13.0,274.4,65,2.0,15.0,17.0
124,52,124Te,,-90524.1,1.4,602.7271,72,2.0,10.0,12.0
115,52,115Te,n,-81783.0,28.0,20.0,63,2.0,13.0,15.0
119,52,119Te,,-87183.0,7.0,257.48400000000004,67,2.0,15.0,17.0
108,52,108Te,,-65782.0,5.0,625.2,56,2.0,6.0,8.0
123,52,123Te,,-89171.0,1.4,158.994,71,2.0,11.0,13.0
105,52,105Te,,-52810.0,300.0,150.0,53,2.0,3.0,5.0
118,52,118Te,,-87691.0,18.0,605.706,66,2.0,16.0,18.0
106,52,106Te,,-58220.0,100.0,664.8,54,2.0,4.0,6.0
125,52,125Te,,-89021.8,1.4,35.4925,73,2.0,9.0,11.0
122,52,122Te,,-90313.3,1.4,564.094,70,2.0,12.0,14.0
120,52,120Te,,-89362.2,1.8,560.438,68,2.0,14.0,16.0
111,52,111Te,,-73587.0,6.0,117.1,59,2.0,9.0,11.0
107,52,107Te,,-60660.0,100.0,90.3,55,2.0,5.0,7.0
121,52,121Te,m,-88249.0,26.0,212.191,69,2.0,13.0,15.0
112,52,112Te,,-77568.0,8.0,689.0,60,2.0,10.0,12.0
116,52,116Te,,-85264.0,24.0,678.92,64,2.0,14.0,16.0
110,52,110Te,,-72230.0,7.0,657.2,58,2.0,8.0,10.0
109,52,109Te,,-67715.0,4.0,98.12,57,2.0,7.0,9.0
126,52,126Te,,-90064.2,1.4,666.3380000000002,74,2.0,8.0,10.0
133,53,133I,,-85857.0,6.0,312.075,80,3.0,2.0,5.0
123,53,123I,,-87943.0,4.0,138.33,70,3.0,12.0,15.0
132,53,132I,m,-85594.0,10.0,22.0,79,3.0,3.0,6.0
122,53,122I,p,-85685.0,5.0,53.114,69,3.0,13.0,16.0
130,53,130I,m,-86896.0,3.0,39.9525,77,3.0,5.0,8.0
121,53,121I,,-86246.0,5.0,95.71,68,3.0,14.0,17.0
120,53,120I,m,-83674.0,15.0,25.07,67,3.0,15.0,18.0
119,53,119I,,-83778.0,22.0,90.1,66,3.0,16.0,19.0
131,53,131I,m,-85524.3,0.7,149.716,78,3.0,4.0,7.0
117,53,117I,,-80439.0,26.0,58.87,64,3.0,14.0,17.0
129,53,129I,,-88507.0,3.0,27.793000000000006,76,3.0,6.0,9.0
113,53,113I,,-71120.0,8.0,63.6,60,3.0,10.0,13.0
136,53,136I,m,-79339.0,5.0,86.73,83,3.0,1.0,4.0
127,53,127I,,-88983.0,4.0,57.608,74,3.0,8.0,11.0
135,53,135I,,-83779.2,2.1,603.68,82,3.0,0.0,3.0
138,53,138I,m,-71912.0,6.0,67.9,85,3.0,3.0,6.0
125,53,125I,,-88836.0,1.4,113.544,72,3.0,10.0,13.0
126,53,126I,m,-87799.0,4.0,56.43,73,3.0,9.0,12.0
134,53,134I,m,-83727.0,5.0,44.39,81,3.0,1.0,4.0
128,53,128I,n,-87571.0,4.0,27.362,75,3.0,7.0,10.0
139,53,139I,,-68471.0,4.0,209.5,86,3.0,4.0,7.0
137,53,137I,,-76356.0,8.0,243.3,84,3.0,2.0,5.0
124,53,124I,,-87364.6,2.3,55.48,71,3.0,11.0,14.0
115,53,115I,,-76338.0,29.0,56.7,62,3.0,12.0,15.0
111,53,111I,,-64954.0,5.0,37.2,58,3.0,8.0,11.0
112,53,112I,,-67063.0,10.0,55.0,59,3.0,9.0,12.0
137,54,137Xe,,-82383.41,0.1,601.05,83,4.0,1.0,5.0
119,54,119Xe,,-78794.0,10.0,169.34,65,4.0,15.0,19.0
130,54,130Xe,,-89880.474,0.009000000000000001,536.068,76,4.0,6.0,10.0
138,54,138Xe,,-79972.2,2.8,588.826,84,4.0,2.0,6.0
136,54,136Xe,m,-84537.43,0.07,1313.06,82,4.0,0.0,4.0
110,54,110Xe,,-51920.0,100.0,469.7,56,4.0,6.0,10.0
118,54,118Xe,,-78079.0,10.0,337.32,64,4.0,14.0,18.0
143,54,143Xe,,-60203.0,5.0,78.8,89,4.0,7.0,11.0
113,54,113Xe,,-62204.0,7.0,125.91,59,4.0,9.0,13.0
131,54,131Xe,,-88413.575,0.005,80.1854,77,4.0,5.0,9.0
133,54,133Xe,n,-85497.0,20.0,233.221,79,4.0,3.0,7.0
139,54,139Xe,,-75644.6,2.1,22.74,85,4.0,3.0,7.0
115,54,115Xe,,-68657.0,12.0,208.0,61,4.0,11.0,15.0
