AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
6,5,6B, 47320.0,2000.0,,1,3.0,1.0,,,4.0,3.3019272488946263,11.00642416298209,2.6666666666666665,1.0,1.0
9,5,9B,12416.5,0.9,1.5,4,3.0,2.0,,,5.0,4.3267487109222245,9.614997135382723,0.1111111111111111,1.0,0.0
9,5,9B,27071,2.3,,4,3.0,2.0,,,5.0,4.3267487109222245,9.614997135382723,0.1111111111111111,1.0,0.0
10,5,10B,13790.66,0.04,0.71838,5,3.0,3.0,,,6.0,4.641588833612778,9.283177667225557,0.0,1.0,1.0
21,5,21B,78380,560,,16,3.0,4.0,,,7.0,7.611662611020244,7.249202486685949,5.761904761904762,1.0,0.0
10,5,10B,12050.611,0.015,,5,3.0,3.0,,,6.0,4.641588833612778,9.283177667225557,0.0,1.0,1.0
11,5,11B,21228,9,2.124693,6,3.0,2.0,,,5.0,4.9460874432487,8.992886260452185,0.09090909090909091,1.0,0.0
11,5,11B,42230,80,,6,3.0,2.0,,,5.0,4.9460874432487,8.992886260452185,0.09090909090909091,1.0,0.0
20,5,20B,69400,550,0.94,15,3.0,5.0,,,8.0,7.368062997280773,7.368062997280774,5.0,1.0,1.0
11,5,11B,8667.708,0.012,,6,3.0,2.0,,,5.0,4.9460874432487,8.992886260452185,0.09090909090909091,1.0,0.0
20,6,20C,37500,230,1.618,14,2.0,6.0,,,8.0,7.368062997280773,11.05209449592116,3.2,0.0,0.0
15,6,15C,9873.1,0.8,0.74,9,2.0,1.0,,,3.0,6.082201995573399,12.164403991146802,0.6,0.0,1.0
18,6,18C,24920,30,1.588,12,2.0,4.0,,,6.0,6.868285455319991,11.44714242553332,2.0,0.0,0.0
21,6,21C, 45640.0, 600.0,,15,2.0,5.0,,,7.0,7.611662611020244,10.873803730028923,3.857142857142857,0.0,1.0
17,6,17C,21032,17,0.217,11,2.0,3.0,,,5.0,6.611489018457944,11.66733356198461,1.4705882352941178,0.0,1.0
22,6,22C,53610,230,,16,2.0,4.0,,,6.0,7.851424410539689,10.706487832554124,4.545454545454546,0.0,0.0
14,6,14C,25120,100,6.0938,8,2.0,0.0,,,2.0,5.808785733563703,12.447398000493653,0.2857142857142857,0.0,0.0
14,6,14C,3019.893,0.004,,8,2.0,0.0,,,2.0,5.808785733563703,12.447398000493653,0.2857142857142857,0.0,0.0
19,6,19C,32410,100,0.209,13,2.0,5.0,,,7.0,7.1203673589019925,11.242685303529464,2.5789473684210527,0.0,1.0
16,6,16C,13694,4,1.766,10,2.0,2.0,,,4.0,6.3496042078727974,11.905507889761497,1.0,0.0,0.0
23,6,23C, 64170.0,1000.0,,17,2.0,3.0,,,5.0,8.087579399090064,10.54901660750878,5.260869565217392,0.0,1.0
12,6,12C,27595,2.4,4.43982,6,2.0,2.0,,,4.0,5.241482788417793,13.103706971044483,0.0,0.0,0.0
11,6,11C,22810,40,2.0,5,2.0,3.0,,,5.0,4.9460874432487,13.489329390678277,0.09090909090909091,0.0,1.0
8,6,8C,35064,18,,2,2.0,0.0,,,2.0,3.9999999999999996,15.0,2.0,0.0,0.0
11,6,11C,10649.4,0.06,,5,2.0,3.0,,,5.0,4.9460874432487,13.489329390678277,0.09090909090909091,0.0,1.0
9,6,9C,28911,2.1,2.218,3,2.0,1.0,,,3.0,4.3267487109222245,14.422495703074084,1.0,0.0,1.0
10,6,10C,15698.67,0.07,3.3537,4,2.0,2.0,,,4.0,4.641588833612778,13.924766500838336,0.4,0.0,0.0
13,6,13C,18233.8,1.1,3.089443,7,2.0,1.0,,,3.0,5.528774813678871,12.758711108489706,0.07692307692307693,0.0,1.0
13,6,13C,3125.0093,0.0002,,7,2.0,1.0,,,3.0,5.528774813678871,12.758711108489706,0.07692307692307693,0.0,1.0
12,6,12C,15108,3,,6,2.0,2.0,,,4.0,5.241482788417793,13.103706971044483,0.0,0.0,0.0
12,6,12C,0,0,,6,2.0,2.0,,,4.0,5.241482788417793,13.103706971044483,0.0,0.0,0.0
21,7,21N,25230,130,1.16,14,1.0,6.0,,,7.0,7.611662611020244,15.223325222040492,2.3333333333333335,1.0,0.0
14,7,14N,2863.4168,0.0002,2.312798,7,1.0,1.0,,,2.0,5.808785733563703,17.426357200691115,0.0,1.0,1.0
20,7,20N,21770,80,0.843,13,1.0,5.0,,,6.0,7.368062997280773,15.472932294289626,1.8,1.0,1.0
10,7,10N,38800,400,0.9,3,1.0,1.0,,,2.0,4.641588833612778,19.49467310117367,1.6,1.0,1.0
11,7,11N,25110,60,0.73,4,1.0,2.0,,,3.0,4.9460874432487,18.88506114694959,0.8181818181818182,1.0,0.0
18,7,18N,13113,19,0.11470999999999999,11,1.0,3.0,,,4.0,6.868285455319991,16.02599939574665,0.8888888888888888,1.0,1.0
19,7,19N,15856,16,1.143,12,1.0,4.0,,,5.0,7.1203673589019925,15.73975942494125,1.3157894736842106,1.0,0.0
16,7,16N,5804.3,2.3,0.12042,9,1.0,1.0,,,2.0,6.3496042078727974,16.667711045666096,0.25,1.0,1.0
17,7,17N,7870,15,1.3739000000000001,10,1.0,2.0,,,3.0,6.611489018457944,16.334266986778452,0.5294117647058824,1.0,0.0
16,7,16N,15613,7,,9,1.0,1.0,,,2.0,6.3496042078727974,16.667711045666096,0.25,1.0,1.0
12,7,12N,17338.1,1,0.961,5,1.0,3.0,,,4.0,5.241482788417793,18.345189759462276,0.3333333333333333,1.0,1.0
13,7,13N,20410.59,0.18,2.3649,6,1.0,2.0,,,3.0,5.528774813678871,17.862195551885588,0.07692307692307693,1.0,0.0
13,7,13N,5345.48,0.27,,6,1.0,2.0,,,3.0,5.528774813678871,17.862195551885588,0.07692307692307693,1.0,0.0
23,7,23N,36720,420,3.6,16,1.0,4.0,,,5.0,8.087579399090064,14.768623250512292,3.5217391304347827,1.0,0.0
14,7,14N,5176.007,0.01,,7,1.0,1.0,,,2.0,5.808785733563703,17.426357200691115,0.0,1.0,1.0
24,7,24N, 46940.0, 400.0,,17,1.0,3.0,,,4.0,8.320335292207616,14.56058676136333,4.166666666666667,1.0,1.0
16,7,16N,5683.9,2.3,,9,1.0,1.0,,,2.0,6.3496042078727974,16.667711045666096,0.25,1.0,1.0
15,7,15N,101.4381,0.0006,5.270155,8,1.0,0.0,,,1.0,6.082201995573399,17.030165587605524,0.06666666666666667,1.0,0.0
11,7,11N,24366,5,,4,1.0,2.0,,,3.0,4.9460874432487,18.88506114694959,0.8181818181818182,1.0,0.0
22,7,22N,31760,210,0.183,15,1.0,5.0,,,6.0,7.851424410539689,14.989082965575774,2.909090909090909,1.0,1.0
25,7,25N, 55980.0, 500.0,,18,1.0,2.0,,,3.0,8.549879733383484,14.363797952084255,4.84,1.0,0.0
12,7,12N,29580,4,,5,1.0,3.0,,,4.0,5.241482788417793,18.345189759462276,0.3333333333333333,1.0,1.0
