n,z,firstExcitedStateEnergy(keV)
67,43,39.5
68,43,67.3
69,43,258
70,43,114.4
44,44,616.2
45,44,863.7
46,44,738.1
48,44,865.7
49,44,734.4
50,44,1430.71
51,44,787.7
52,44,832.56
53,44,189.22
54,44,652.46
55,44,89.57
56,44,539.5103
57,44,127.229
58,44,475.0962
59,44,2.81
60,44,358.02
61,44,20.606
62,44,270.07
63,44,102.681
64,44,242.23
65,44,68.75
66,44,240.73
67,44,9.7
68,44,236.69
69,44,98.4
70,44,265.19
71,44,61.7
72,44,292.43
73,44,57.7
74,44,327.6
75,44,136.3
46,45,172.9
48,45,240.1
49,45,54.6
50,45,543.3
51,45,51.98
52,45,258.76
53,45,48.5
54,45,64.4
55,45,32.686
56,45,157.32
57,45,41.94
58,45,39.753
59,45,51.42324
60,45,129.742
61,45,137
62,45,194.048
63,45,14.54
64,45,206.25
66,45,211.53
67,45,82.27
68,45,211.72
69,45,127
70,45,213.31
71,45,150
75,45,98.1
77,45,207.1
46,46,873.6
47,46,983.5
48,46,813.8
49,46,1261.8
50,46,1415.31
51,46,686.62
52,46,862.69
53,46,219.89
54,46,665.49
55,46,80.3
56,46,556.44
57,46,118.736
58,46,555.81
59,46,280.62
60,46,511.85
61,46,115.74
62,46,433.938
63,46,113.4
64,46,373.8
65,46,72.2
66,46,348.66
67,46,35.08
68,46,332.61
69,46,89.21
70,46,340.26
71,46,34.64
72,46,378.6
74,46,438
75,46,135
76,46,499
78,46,590
80,46,693.3
82,46,1311.4
48,47,77.4
50,47,1289.91
51,47,107.28
52,47,342.6
53,47,15.52
54,47,98
55,47,9.4
56,47,27.54
57,47,6.9
58,47,25.468
59,47,89.66
60,47,93.125
61,47,79.1401
62,47,88.0337
63,47,1.112
64,47,59.82
65,47,18.5
66,47,43.5
67,47,126.7
68,47,41.16
69,47,47.9
70,47,28.6
71,47,45.79
73,47,52.5
76,47,26.96
50,48,1395.1
51,48,440.8
52,48,1004.11
53,48,252
54,48,776.55
55,48,187.89
56,48,658
57,48,131.2
58,48,632.64
59,48,204.98
60,48,632.988
61,48,59.6
62,48,657.7623
63,48,245.39
64,48,617.518
65,48,263.54
66,48,558.456
67,48,181
68,48,513.49
69,48,135.4
70,48,487.77
71,48,27
72,48,505.94
73,48,7.52
74,48,569.45
75,48,116.4
76,48,612.8
78,48,651.96
80,48,645.8
82,48,1325
84,48,618
48,49,610
49,49,820
52,49,1309.7
53,49,94
54,49,631.7
55,49,85.389
56,49,674.09
57,49,28.6
58,49,678.5
59,49,29.75
60,49,649.79
61,49,62.08
62,49,536.99
63,49,156.592
64,49,391.699
65,49,190.2682
66,49,336.244
67,49,127.267
68,49,315.303
69,49,60
70,49,311.37
72,49,313.68
73,49,40
74,49,327.21
75,49,36.53
76,49,360.12
77,49,90
78,49,408.9
79,49,247.87
80,49,459
81,49,50
82,49,302
83,49,25
84,49,330
51,50,171.7
53,50,168
54,50,1260.1
55,50,199.7
56,50,1207.7
57,50,151.2
58,50,1206.07
59,50,13.97
60,50,1212.02
61,50,154.48
