Z,N,A,MthFL,FirstExc,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
16,24,40,-23.28,903.69,4.0,4.0,8.0,11.696070952851462,70.17642571710878,1.6,0.0,0.0
16,25,41,-18.8,449.0,4.0,3.0,7.0,11.890202136872691,69.6011832402304,1.975609756097561,0.0,1.0
16,26,42,-17.49,903.0,4.0,2.0,6.0,12.082761235960547,69.04434991977458,2.380952380952381,0.0,0.0
16,27,43,-12.08,320.7,4.0,1.0,5.0,12.273797969521459,68.50491889965467,2.813953488372093,0.0,1.0
16,28,44,-9.42,1329.0,4.0,0.0,4.0,12.463359368739502,67.98196019312456,3.272727272727273,0.0,0.0
16,30,46,1.07,952.0,4.0,2.0,6.0,12.838232045991905,66.98208023995778,4.260869565217392,0.0,0.0
17,12,29,13.64,500.0,3.0,4.0,7.0,9.43913067739236,88.5325360086456,0.8620689655172413,1.0,0.0
17,14,31,-6.05,750.0,3.0,6.0,9.0,9.868272403218972,86.58613205405035,0.2903225806451613,1.0,0.0
17,15,32,-12.07,89.9,3.0,5.0,8.0,10.079368399158984,85.67463139285138,0.125,1.0,1.0
17,16,33,-19.91,810.55,3.0,4.0,7.0,10.288276478101775,84.80033945586919,0.030303030303030304,1.0,0.0
17,17,34,-22.81,146.36,3.0,3.0,6.0,10.49508462297634,83.96067698381073,0.0,1.0,1.0
17,18,35,-27.97,1219.29,3.0,2.0,5.0,10.699874805650794,83.15331277534332,0.02857142857142857,1.0,0.0
17,19,36,-28.47,788.4328,3.0,1.0,4.0,10.902723556992836,82.37613354172368,0.1111111111111111,1.0,1.0
17,20,37,-31.11,1726.58,3.0,0.0,3.0,11.103702468586784,81.6272181474488,0.24324324324324326,1.0,0.0
17,21,38,-29.85,671.365,3.0,1.0,4.0,11.302878635921052,80.9048154992244,0.42105263157894735,1.0,1.0
17,22,39,-30.71,396.42,3.0,2.0,5.0,11.500315051230226,80.20732548550313,0.6410256410256411,1.0,0.0
17,23,40,-27.78,211.62,3.0,3.0,6.0,11.696070952851462,79.53328247938997,0.9,1.0,1.0
17,24,41,-28.3,129.7,3.0,4.0,7.0,11.890202136872691,78.88134100559445,1.1951219512195121,1.0,0.0
17,25,42,-25.08,118.19,3.0,3.0,6.0,12.082761235960547,78.25026324241118,1.5238095238095237,1.0,1.0
17,26,43,-23.97,328.0,3.0,2.0,5.0,12.273797969521459,77.6389080862753,1.8837209302325582,1.0,0.0
17,27,44,-19.73,475.0,3.0,1.0,4.0,12.463359368739502,77.04622155220784,2.272727272727273,1.0,1.0
17,28,45,-17.86,127.0,3.0,0.0,3.0,12.651489979526238,76.47122832069194,2.688888888888889,1.0,0.0
17,29,46,-12.56,118.0,3.0,1.0,4.0,12.838232045991905,75.91302427195215,3.130434782608696,1.0,1.0
18,12,30,20.07,700.0,2.0,4.0,6.0,9.654893846056297,98.47991722977424,1.2,0.0,0.0
18,14,32,-1.91,1867.0,2.0,6.0,8.0,10.079368399158984,96.3839603169578,0.5,0.0,0.0
18,15,33,-8.48,1359.0,2.0,5.0,7.0,10.288276478101775,95.40038188785284,0.2727272727272727,0.0,1.0
18,16,34,-17.91,2091.1,2.0,4.0,6.0,10.49508462297634,94.45576160678708,0.11764705882352941,0.0,0.0
18,17,35,-22.11,1184.03,2.0,3.0,5.0,10.699874805650794,93.54747687226124,0.02857142857142857,0.0,1.0
18,18,36,-29.57,1970.38,2.0,2.0,4.0,10.902723556992836,92.67315023443913,0.0,0.0,0.0
18,19,37,-31.06,1409.84,2.0,1.0,3.0,11.103702468586784,91.8306204158799,0.02702702702702703,0.0,1.0
18,20,38,-35.14,2167.472,2.0,0.0,2.0,11.302878635921052,91.01791743662744,0.10526315789473684,0.0,0.0
18,21,39,-34.38,1267.2069999999999,2.0,1.0,3.0,11.500315051230226,90.23324117119103,0.23076923076923078,0.0,1.0
18,22,40,-36.9,1460.849,2.0,2.0,4.0,11.696070952851462,89.47494278931372,0.4,0.0,0.0
18,23,41,-34.54,167.11,2.0,3.0,5.0,11.890202136872691,88.74150863129375,0.6097560975609756,0.0,1.0
18,24,42,-36.31,1208.22,2.0,4.0,6.0,12.082761235960547,88.03154614771258,0.8571428571428571,0.0,0.0
18,26,44,-33.35,750.0,2.0,2.0,4.0,12.463359368739502,86.67699924623382,1.4545454545454546,0.0,0.0
18,27,45,-29.85,542.1,2.0,1.0,3.0,12.651489979526238,86.03013186077843,1.8,0.0,1.0
18,28,46,-29.05,1577.0,2.0,0.0,2.0,12.838232045991905,85.40215230594617,2.1739130434782608,0.0,0.0
18,29,47,-23.8,1130.0,2.0,1.0,3.0,13.023625676689214,84.7921161078064,2.574468085106383,0.0,1.0
18,30,48,-20.99,1039.0,2.0,2.0,4.0,13.207708995578505,84.19914484681298,3.0,0.0,0.0
18,32,50,-11.24,1178.0,2.0,4.0,6.0,13.572088082974531,83.06117906780415,3.92,0.0,0.0
18,34,52,-0.43,1656.0,2.0,6.0,8.0,13.93163953576523,81.98234034508003,4.923076923076923,0.0,0.0
19,16,35,-11.01,1553.0,1.0,4.0,5.0,10.699874805650794,104.55306238664491,0.2571428571428571,1.0,0.0
19,17,36,-17.07,810.0,1.0,3.0,4.0,10.902723556992836,103.57587379143197,0.1111111111111111,1.0,1.0
19,18,37,-25.06,1370.85,1.0,2.0,3.0,11.103702468586784,102.63422281774814,0.02702702702702703,1.0,0.0
19,19,38,-28.41,130.22,1.0,1.0,2.0,11.302878635921052,101.7259077232895,0.0,1.0,1.0
19,20,39,-33.93,2522.75,1.0,0.0,1.0,11.500315051230226,100.84891660309584,0.02564102564102564,1.0,0.0
19,21,40,-34.55,29.8299,1.0,1.0,2.0,11.696070952851462,100.00140664688003,0.1,1.0,1.0
19,22,41,-37.48,980.4760000000001,1.0,2.0,3.0,11.890202136872691,99.18168611732831,0.21951219512195122,1.0,0.0
19,23,42,-36.8,106.82600000000001,1.0,3.0,4.0,12.082761235960547,98.38819863567876,0.38095238095238093,1.0,1.0
19,24,43,-38.49,561.2,1.0,4.0,5.0,12.273797969521459,97.6195094320079,0.5813953488372093,1.0,0.0
19,25,44,-37.01,182.71,1.0,3.0,4.0,12.463359368739502,96.8742932752025,0.8181818181818182,1.0,1.0
19,26,45,-37.79,474.45,1.0,2.0,3.0,12.651489979526238,96.15132384439941,1.0888888888888888,1.0,0.0
19,27,46,-35.22,587.4,1.0,1.0,2.0,12.838232045991905,95.44946434193984,1.391304347826087,1.0,1.0
19,28,47,-35.07,360.0,1.0,0.0,1.0,13.023625676689214,94.76765917931303,1.7234042553191489,1.0,0.0
19,29,48,-31.15,142.7,1.0,1.0,2.0,13.207708995578505,94.10492659349687,2.0833333333333335,1.0,1.0
19,30,49,-28.46,91.7,1.0,2.0,3.0,13.390518279406722,93.46035207259388,2.4693877551020407,1.0,0.0
19,31,50,-23.15,44.0,1.0,3.0,4.0,13.572088082974531,92.83308248754581,2.88,1.0,1.0
20,16,36,-6.71,3045.0,0.0,4.0,4.0,10.902723556992836,115.0843042127022,0.4444444444444444,0.0,0.0
20,17,37,-13.14,1606.4,0.0,3.0,3.0,11.103702468586784,114.03802535305348,0.24324324324324326,0.0,1.0
20,18,38,-22.66,2213.2,0.0,2.0,2.0,11.302878635921052,113.02878635921056,0.10526315789473684,0.0,0.0
20,19,39,-27.42,2466.9,0.0,1.0,1.0,11.500315051230226,112.0543517812176,0.02564102564102564,0.0,1.0
20,20,40,-35.42,3352.62,0.0,0.0,0.0,11.696070952851462,111.11267405208892,0.0,0.0,0.0
20,21,41,-36.34,1942.88,0.0,1.0,1.0,11.890202136872691,110.20187346369813,0.024390243902439025,0.0,1.0
20,22,42,-40.89,1524.71,0.0,2.0,2.0,12.082761235960547,109.32022070630973,0.09523809523809523,0.0,0.0
20,23,43,-40.56,372.76199999999994,0.0,3.0,3.0,12.273797969521459,108.4661215911199,0.20930232558139536,0.0,1.0
20,24,44,-43.79,1157.019,0.0,4.0,4.0,12.463359368739502,107.63810363911391,0.36363636363636365,0.0,0.0
20,25,45,-42.65,174.25,0.0,3.0,3.0,12.651489979526238,106.83480427155492,0.5555555555555556,0.0,1.0
20,26,46,-44.86,1346.0,0.0,2.0,2.0,12.838232045991905,106.05496037993315,0.782608695652174,0.0,0.0
20,27,47,-42.67,2013.53,0.0,1.0,1.0,13.023625676689214,105.29739908812559,1.0425531914893618,0.0,1.0
20,28,48,-43.71,3831.96,0.0,0.0,0.0,13.207708995578505,104.56102954832986,1.3333333333333333,0.0,0.0
