8,58,8B,,,i,,33546,,,,,,,,,,8,,,,,,,10624,,,,,,,,,,8,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=2,,,5,,,,,,,,,,1975,,,,,,,,,,,,,,,,
8,60,8C,,,,,,35064,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,zs,1.4,,,,0+,,,,,,,,,,,,18,,,,,,,,,,1974,2p=100,,,,,,,,,,,,
9,20,9He,,,,,40940,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,zs,2.3,,,,1/2(+),,,,,,,,6,,,,,,,,,,1987,n=100,,,,,,,,,,,,,,,,,
9,30,9Li,,,,,24954.91,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2,,,ms,0.4,,,,3/2-,,,,,,,,,,6,,,,,,,,,,1951,B-=100;B-n=50.5,10,,,,,,,,,,,,,,,,,,,,,
9,40,9Be,,,,,11348.45,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,3/2-*,,,,,,,,,6,,,,,,,,,,1921,IS=100,,,,,,,,,,,,,,,,,
9,48,9Be,,i,,25738.8,,,,,,,,1.7,,,,,14390.3,,,,,,,,1.7,,,,,RQ,,,,,1.25,,as,0.1,,,3/2-,,,,T=3/2,6,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,50,9B,,,,,,12416.5,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,zs,300,,,,3/2-,,,,,,,,,,6,,,,,,,,,,1940,p=100,,,,,,,,,,,,,,,,,
9,58,9B,,,i,,27071,,,,,,,,2.3,,,,,14654.5,,,,,,,,2.5,,,,,RQ,,,,,,,,,,,,,,,,,,,,,3/2-,,,,T=3/2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,9C,,,,,,28911,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.5,,,ms,0.9,,,,3/2-,,,,,,,,,,6,,,,,,,,,,1964,B+=100;B+p=7.5,6;B+A=38.4,16,,,,,,,,,,,,,,,,,
10,20,10He,,,,49200,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,ys,40,,,,,0+,,,,,,,,,,,,7,,,,,,,,,,1994,2n=100,,,,,,,,,,,,,
10,30,10Li,,,,33053,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,zs,0.5,,,,"(1-,2-)",,,,,,,7,,,,,,,,,,1975,n=100,,,,,,,,,,,,,,,,,,,
10,31,10Li,m,,33250,,,,,,,,,40,,,,,,,,,200,,,,,,,,,40,,,,,,,RQ,,,,,3.7,,,zs,1.5,,,,1+,,,,,,,,,,,,7,,,,,,,,,,1994,IT=100,,,,,,,,,,,,,,,,,,,,,,
10,32,10Li,n,,33530,,,,,,,,,40,,,,,,,,,480,,,,,,,,,40,,,,,,,RQ,,,,,1.35,,zs,0.24,,,(2+),,,,,,,,,,7,,,,,,,,,,1993,IT=100,,,,,,,,,,,,,,,,,,,,,,,,,,
10,40,10Be,,,,12607.49,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.387,My,0.012,,0+,,,,,,,,,,,,7,,,,,,,,,,1935,B-=100,,,,,,,,,,,,,,,,,,,,,,,
10,48,10Be,i,,33787,,,,,,,,,21,,,,,,,21179,,,,,,,,,21,,,,,,,RQ,,,,,,,,,,,,,,,,,,,,,(2-),,,,T=2,,,7,,,,,,,,,,,,,,,n,?;p,?;3H,?,,,,,,,,,,,,,,
10,50,10B,,,,,12050.611,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,3+*,,,,,,,,,,,7,,,,,,,,,,1920,IS=19.65,44,,,,,,,,,,,,,,,,
10,58,10B,,i,,13790.66,,,,,,,0.04,,,,,1740.05,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0+,,,,,,T=1,,,7,,,,,,,,,,,,,,,IT=100,,,,,,,,,,,,,,,,,,,,,
10,60,10C,,,,,15698.67,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3011,s,0.0015,0+,,,,,,,,,,,,7,,,,,,,,,,1949,B+=100,,,,,,,,,,,,,,,,,,,,,,,,
10,70,10N,,,,,38800,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,ys,36,,,,,"1-,2-",,,,,,,,,17,,,,,,,,,,2002,p,?,,,,,,,,,,,,,,,
11,30,11Li,,,,40728.3,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,ms,0.06,,,3/2-*,,,,,,,,,12,,,,,,,,,,1966,B-=100;B-n=86.3,9;B-2n=4.1,4;B-3n=1.9,2;B-A=1.7,3;B-d=0.0130,13;B-t=0.0093,8,,,,,,,,,,,,,,,,
11,40,11Be,,,,20177.17,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76,,,s,0.07,,,1/2+*,,,,,,,,,12,,,,,,,,,,1958,B-=100;B-A=3.3,1;B-p=0.0013,3;B-n,?,,,,,,,,,,,,,,,,,,,,,
11,48,11Be,i,,41336,,,,,,,,,20,,,,,,,21158,,,,,,,,,20,,,,,,,RQ,,,,,0.93,,zs,0.13,,,3/2-,,,,T=5/2,,,,,,,,,,,,,1997,IT,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,50,11B,,,,,,8667.708,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stbl,,,,,,,,,,,,,,3/2-*,,,,,,,,,12,,,,,,,,,,1920,IS=80.35,44,,,,,,,,,,,,,,,,,
11,58,11B,,i,,21228,,,,,,,,,,9,,,,,,,12560,,,,,,,,,,9,,,,,,,RQ,,,,,,,,,,,,,,T=3/2,,"1/2+,(3/2+)",,,12,,,,,,,,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
