index,Z,N,A,MthFL,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
161,12,41,53,179.49,4.0,9.0,13.0,14.109682667364165,35.14109645456736,15.867924528301886,0.0,1.0
162,12,42,54,190.34,4.0,8.0,12.0,14.286609467713793,34.92282314330039,16.666666666666668,0.0,0.0
163,12,43,55,201.4,4.0,7.0,11.0,14.462447418811122,34.7098738051467,17.472727272727273,0.0,1.0
164,12,44,56,211.82,4.0,6.0,10.0,14.637222840091884,34.502025265930875,18.285714285714285,0.0,0.0
165,12,45,57,224.71,4.0,5.0,9.0,14.810960957438846,34.29906748038471,19.105263157894736,0.0,1.0
166,12,46,58,235.5,4.0,4.0,8.0,14.983685966957935,34.10080254549048,19.93103448275862,0.0,0.0
167,12,47,59,248.97,4.0,3.0,7.0,15.155421094002051,33.907043803530016,20.76271186440678,0.0,1.0
191,13,31,44,57.81,5.0,3.0,8.0,12.463359368739502,44.18827412553097,7.363636363636363,1.0,1.0
192,13,32,45,65.92,5.0,4.0,9.0,12.651489979526238,43.85849859569096,8.022222222222222,1.0,0.0
193,13,33,46,75.47,5.0,5.0,10.0,12.838232045991905,43.53835215597256,8.695652173913043,1.0,1.0
194,13,34,47,83.56,5.0,6.0,11.0,13.023625676689214,43.22735330986208,9.382978723404255,1.0,0.0
195,13,35,48,93.88,5.0,7.0,12.0,13.207708995578505,42.92505423563015,10.083333333333334,1.0,1.0
196,13,36,49,103.29,5.0,8.0,13.0,13.390518279406722,42.63103778749896,10.795918367346939,1.0,0.0
197,13,37,50,114.77,5.0,9.0,14.0,13.572088082974531,42.34491481888055,11.52,1.0,1.0
198,13,38,51,123.87,5.0,10.0,15.0,13.752451353579682,42.066321787420215,12.254901960784315,1.0,0.0
199,13,39,52,134.92,5.0,11.0,16.0,13.93163953576523,41.794918607295706,13.0,1.0,1.0
200,13,40,53,144.42,5.0,10.0,15.0,14.109682667364165,41.530386719034155,13.754716981132075,1.0,0.0
201,13,41,54,155.72,5.0,9.0,14.0,14.286609467713793,41.272427351173185,14.518518518518519,1.0,1.0
202,13,42,55,166.5,5.0,8.0,13.0,14.462447418811122,41.02075995153701,15.290909090909091,1.0,0.0
203,13,43,56,178.15,5.0,7.0,12.0,14.637222840091884,40.7751207688274,16.071428571428573,1.0,1.0
204,13,44,57,186.76,5.0,6.0,11.0,14.810960957438846,40.53526156772738,16.859649122807017,1.0,0.0
