AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
12,7,12N,,17338.1,1.0,961.0,5,1.0,3.0,4.0,5.241482788417793,18.345189759462276,0.3333333333333333,1.0,1.0
13,7,13N,i,20410.59,0.18,2364.9,6,1.0,2.0,3.0,5.528774813678871,17.862195551885588,0.07692307692307693,1.0,0.0
23,7,23N,,36720.0,420.0,3600.0,16,1.0,4.0,5.0,8.087579399090064,14.768623250512292,3.5217391304347827,1.0,0.0
15,7,15N,,101.4381,0.0006,5270.155,8,1.0,0.0,1.0,6.082201995573399,17.030165587605524,0.06666666666666667,1.0,0.0
22,7,22N,,31760.0,210.0,183.0,15,1.0,5.0,6.0,7.851424410539689,14.989082965575774,2.909090909090909,1.0,1.0
22,8,22O,,9280.0,60.0,3199.0,14,0.0,6.0,6.0,7.851424410539689,19.98544395410103,1.6363636363636365,0.0,0.0
24,8,24O,,18500.0,160.0,4790.0,16,0.0,4.0,4.0,8.320335292207616,19.414115681817773,2.6666666666666665,0.0,0.0
20,8,20O,,3796.2,0.9,1673.68,12,0.0,4.0,4.0,7.368062997280773,20.630576392386168,0.8,0.0,0.0
23,8,23O,,14620.0,120.0,2780.0,15,0.0,5.0,5.0,8.087579399090064,19.691497667349722,2.130434782608696,0.0,1.0
21,8,21O,,8062.0,12.0,1220.0,13,0.0,5.0,5.0,7.611662611020244,20.297766962720655,1.1904761904761905,0.0,1.0
19,8,19O,,3332.9,2.6,96.0,11,0.0,3.0,3.0,7.1203673589019925,20.986345899921666,0.47368421052631576,0.0,1.0
26,8,26O,,34660.0,160.0,1277.0,18,0.0,2.0,2.0,8.776382955329126,18.902978673016584,3.8461538461538463,0.0,0.0
13,8,13O,,23115.0,10.0,2750.0,5,0.0,3.0,3.0,5.528774813678871,23.81626073584745,0.6923076923076923,0.0,1.0
15,8,15O,i,14020.0,40.0,5183.0,7,0.0,1.0,1.0,6.082201995573399,22.706887450140698,0.06666666666666667,0.0,1.0
14,8,14O,,8007.781,0.025,5173.0,6,0.0,2.0,2.0,5.808785733563703,23.23514293425482,0.2857142857142857,0.0,0.0
16,8,16O,j,17984.0,4.0,6049.4,8,0.0,0.0,0.0,6.3496042078727974,22.223614727554793,0.0,0.0,0.0
18,8,18O,i,15495.0,20.0,1982.07,10,0.0,2.0,2.0,6.868285455319991,21.367999194328863,0.2222222222222222,0.0,0.0
